country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id,doc_type,title
ETH_2026_007,Humanitarian funding crisis threatening life-saving operations,The project's data gaps in refugee and displaced population service delivery align with the broader humanitarian funding crisis that has forced WFP and other agencies to suspend critical assistance. Implementation challenges in measuring outcomes may reflect resource constraints and operational disruptions affecting humanitarian service provision across vulnerable populations.,0.75,P179040,831e596e,Implementation Status and Results Report,
ETH_2026_009,Cross-border spillover effects from Sudan conflict and regional instability,"The project's zero service delivery in refugee-hosting areas directly reflects the operational challenges created by Ethiopia's refugee crisis. With over 163,000 individuals from Sudan and 50,000+ new arrivals in 2025, refugee-hosting regions face severe institutional strain and displacement dynamics that impede digital ID authentication infrastructure deployment. The Gambella region's cross-border security concerns and resource constraints in refugee-hosting zones create the fragile conditions preventing service integration.",0.85,P179040,3249a743,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The 3.3-4.7 million internally displaced persons and the shrinking humanitarian funding environment directly undermine the project's capacity to deliver services in displacement-affected areas. IDPs in camps and informal settlements lack stable institutional access points for digital authentication, and the deteriorating humanitarian conditions create operational barriers to service delivery integration in these regions.",0.8,P179040,3249a743,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"If refugee-hosting areas overlap with Amhara's conflict zones, the ongoing Fano insurgency and military operations would directly impede project implementation. The closure of 4,000+ schools and displacement of populations in Amhara create institutional fragility that prevents digital ID service deployment in affected regions.",0.65,P179040,3249a743,Implementation Status and Results Report,
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"The 288,000+ people displaced since July 2025 in Oromia and intercommunal violence create operational barriers to service delivery in refugee-hosting areas that may overlap with conflict zones. Insecurity and displacement dynamics prevent stable institutional access for digital authentication in affected regions.",0.7,P179040,3249a743,Implementation Status and Results Report,
ETH_2026_006,Systematic crackdown on media freedom and civil society ahead of 2026 elections,"The delay in establishing the formal ID institution creates governance legitimacy concerns that align with broader patterns of institutional control and executive authority expansion. The government's systematic assault on independent institutions (media, civil society) and changes to media law increasing executive control reflect similar dynamics of institutional capture. A delayed or weakly established ID institution in this context could become another tool for governance control rather than transparent public administration, particularly concerning given the 2026 election environment.",0.65,P179040,bf848554,Implementation Status and Results Report,
ETH_2026_010,Legitimacy concerns over June 2026 elections amid insecurity and opposition exclusion,"The governance institution establishment delay directly undermines electoral legitimacy and administrative capacity ahead of the June 2026 elections. A non-functional ID system could affect voter registration, election administration, and post-election governance credibility. Combined with existing concerns about opposition exclusion (TPLF deregistration), insecurity preventing voting in multiple regions, and government crackdowns on independent oversight, the institutional gap compounds legitimacy risks for the electoral process.",0.72,P179040,bf848554,Implementation Status and Results Report,
ETH_2026_002,Political crisis in Tigray over electoral exclusion and armed faction tensions,"The delayed ID institution establishment affects governance capacity precisely when Tigray faces acute political crisis with TPLF exclusion from elections and shrinking federal authority in key cities. Weak institutional infrastructure for digital identification could further undermine federal governance reach in contested areas like Mekelle, exacerbating the authority vacuum and reducing government capacity to administer basic services or establish legitimacy in politically fragile regions.",0.58,P179040,bf848554,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The Amhara region's ongoing armed conflict between government forces and Fano militias directly creates conflict-affected areas where project implementation faces disruptions. With over 4,000 schools closed and 4 million children out of school, the security environment severely constrains program delivery and beneficiary access to services in this region.",0.95,P172479,fd4dc8ec,Aide Memoire,
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"Persistent violence in Oromia despite peace agreements creates unstable conditions in conflict-affected areas where projects operate. The displacement of over 288,000 people and continued civilian attacks directly disrupt implementation capacity and beneficiary access to services across the region.",0.93,P172479,fd4dc8ec,Aide Memoire,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The displacement of 3.3-4.7 million people across Ethiopia creates widespread conflict-affected areas with dire living conditions and reduced humanitarian access. This displacement crisis directly impacts project implementation by fragmenting beneficiary populations, disrupting service delivery infrastructure, and overwhelming local institutional capacity.",0.92,P172479,fd4dc8ec,Aide Memoire,
ETH_2026_008,Fragile peace process implementation and lingering conflict dynamics in northern regions,"Northern regions (particularly Tigray and Western Tigray) remain conflict-affected despite the 2022 peace agreement, with ongoing sexual violence, forced displacement, and tensions between rival factions. These dynamics directly disrupt project implementation and limit beneficiary access to services in these areas.",0.9,P172479,fd4dc8ec,Aide Memoire,
ETH_2026_002,Political crisis in Tigray over electoral exclusion and armed faction tensions,"Escalating tensions between TPLF and Tigray Defense Forces, combined with shrinking federal authority in Mekelle and key cities, creates an unstable operating environment in Tigray. This political-security crisis directly affects project implementation capacity and service delivery to beneficiaries in the region.",0.85,P172479,fd4dc8ec,Aide Memoire,
ETH_2026_002,Political crisis in Tigray over electoral exclusion and armed faction tensions,"The account opening delays in Tigray are plausibly connected to the deteriorating political and security environment in the region. The risk notes that federal authority is 'quickly shrinking' in Mekelle and key cities, with tensions between TPLF and Tigray Defense Forces escalating. This institutional fragility and loss of government coordination capacity directly undermines the ability of implementing entities to collaborate effectively on financial inclusion projects, explaining the coordination and accountability challenges cited in the project risk.",0.72,P172479,6afc1c78,Aide Memoire,
ETH_2026_008,Fragile peace process implementation and lingering conflict dynamics in northern regions,"The project implementation challenges in Tigray reflect the broader fragility of post-conflict stabilization efforts in northern regions. The country risk highlights ongoing tensions between rival political factions, forced displacement, and the pending Western Tigray referendum creating territorial disputes. These dynamics create institutional instability and competing power centers that fragment coordination mechanisms needed for financial service delivery, directly explaining the limited collaboration among implementing entities.",0.68,P172479,6afc1c78,Aide Memoire,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"Tigray has experienced significant displacement with IDPs in precarious conditions. The project's difficulty in completing KYC data and account opening in 23 woredas is consistent with the humanitarian disruption and population instability in the region. Displaced populations and IDPs may lack stable documentation or residence verification needed for account opening, while implementing entities struggle with access and coordination in displacement-affected areas.",0.65,P172479,6afc1c78,Aide Memoire,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The UXO risk in Amhara hotspot woredas is a direct consequence of ongoing armed conflict between government forces and Fano militias. Active counterinsurgency operations, including drone strikes and military engagements, generate unexploded ordnance that poses immediate threats to public works implementation and civilian populations in affected areas.",0.95,P172479,5cc56113,Aide Memoire,
ETH_2026_008,Fragile peace process implementation and lingering conflict dynamics in northern regions,"The UXO risk in Tigray reflects the aftermath of the 2022-2024 conflict and the fragile peace process. Despite the Pretoria Agreement, unexploded ordnance from the war remains embedded in the landscape, creating persistent hazards for development activities and civilian movement in Tigray hotspot woredas.",0.93,P172479,5cc56113,Aide Memoire,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,UXO contamination in Tigray and Amhara hotspot woredas directly impedes the safe return and reintegration of internally displaced persons. The presence of unexploded ordnance in these regions creates additional barriers to humanitarian access and the restoration of livelihoods for displaced populations seeking to return home.,0.88,P172479,5cc56113,Aide Memoire,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The PSNP transitory caseload exclusion from HRP planning directly exacerbates the deteriorating humanitarian conditions affecting 3.3-4.7 million IDPs. During lean seasons (July-December), vulnerable populations—including transitory PSNP beneficiaries who are often among the poorest and most food-insecure—lose coordinated humanitarian support precisely when needs peak. This gap in planning undermines the national response capacity in an environment where humanitarian funding is already critically constrained and IDPs face dire living conditions.",0.85,P172479,9631b948,Aide Memoire,
ETH_2026_007,Humanitarian funding crisis threatening life-saving operations,"The exclusion of PSNP transitory caseload from HRP planning reflects and compounds the broader humanitarian funding crisis. By fragmenting the humanitarian response architecture and limiting partner coordination during lean seasons, the gap reduces operational efficiency and targeting precision at a time when WFP and other agencies are already forced to suspend assistance to 650,000+ malnourished people due to funding shortfalls. This planning gap wastes scarce humanitarian resources and leaves vulnerable populations without coordinated support.",0.8,P172479,9631b948,Aide Memoire,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The Amhara region, where Fano insurgency has displaced populations and closed 4,000+ schools, likely contains significant PSNP beneficiaries among conflict-affected communities. The exclusion of transitory caseload from HRP planning during lean seasons creates protection and food security gaps in an active conflict zone where humanitarian access is already severely constrained, potentially driving further recruitment into armed groups or deepening community grievances.",0.7,P172479,9631b948,Aide Memoire,
ETH_2026_002,Political crisis in Tigray over electoral exclusion and armed faction tensions,"The TPLF's deregistration from 2026 elections and escalating tensions between TPLF and Tigray Defense Forces directly undermine political stability and government legitimacy. This creates fragility in governance capacity that could affect implementation of federal safety net programs in Tigray, particularly given shrinking federal authority in key cities like Mekelle.",0.85,P172479,bda023ee,Implementation Status and Results Report,
ETH_2026_006,Systematic crackdown on media freedom and civil society ahead of 2026 elections,The systematic assault on press freedom and civil society space reflects broader governance fragility and erosion of institutional checks. This political environment constrains transparency and accountability mechanisms essential for effective safety net program implementation and monitoring.,0.78,P172479,bda023ee,Implementation Status and Results Report,
ETH_2026_010,Legitimacy concerns over June 2026 elections amid insecurity and opposition exclusion,"Electoral legitimacy concerns, opposition exclusion, and government credibility challenges directly threaten political stability and institutional capacity. This undermines government commitment and public trust in federal programs like safety nets, particularly if elections trigger further instability.",0.82,P172479,bda023ee,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"Ongoing armed conflict in Amhara with 4 million children out of school and 4,000+ schools closed indicates severe governance breakdown in the region. This directly impairs government capacity to implement and sustain safety net programs in Amhara, a key implementation area.",0.8,P172479,bda023ee,Implementation Status and Results Report,
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"Persistent violence in Oromia with 3.2 million children out of school and 288,000+ displaced since July 2025 indicates severe institutional fragility. Government capacity to deliver safety net services is compromised in this region due to insecurity and displacement dynamics.",0.79,P172479,bda023ee,Implementation Status and Results Report,
ETH_2026_007,Humanitarian funding crisis threatening life-saving operations,"The macroeconomic instability affecting PSNP financing is directly connected to Ethiopia's broader humanitarian funding crisis. Both reflect constrained fiscal capacity and foreign exchange pressures. The high ETB/USD conversion rates indicate currency depreciation, which reduces government's real purchasing power for safety net contributions. This mirrors the funding shortfalls forcing WFP to suspend assistance to 650,000 malnourished people and threatening 3.6 million vulnerable people with loss of food assistance. The project's financing vulnerability reflects the same macroeconomic constraints limiting Ethiopia's ability to sustain humanitarian operations.",0.85,P172479,9af3e1ac,Implementation Status and Results Report,
ETH_2026_010,Legitimacy concerns over June 2026 elections amid insecurity and opposition exclusion,"The macroeconomic instability affecting PSNP sustainability is linked to the cost-of-living crisis identified as a factor that could fuel recruitment for regional insurgencies ahead of the 2026 elections. Economic deterioration undermines the government's capacity to maintain social protection programs, which can increase grievances and instability. The project's financing challenges reflect the same macroeconomic pressures that are eroding living standards and potentially destabilizing the political environment.",0.72,P172479,9af3e1ac,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"Macroeconomic instability directly constrains the government's ability to finance safety net programs for 3.3-4.7 million internally displaced persons. The currency depreciation and fiscal pressures affecting PSNP contributions reduce resources available for IDP assistance precisely when humanitarian needs are at their highest. The shrinking humanitarian funding environment noted in the country risk is mirrored in the project's financing challenges, creating a compounding effect on vulnerable populations.",0.78,P172479,9af3e1ac,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The EDRMC's institutional capacity constraints in confirming beneficiary numbers directly impair the government's ability to deliver timely humanitarian assistance to 3.3+ million IDPs. Delays in shock response disbursement undermine crisis response capacity precisely when displacement pressures are at their highest, exacerbating the shrinking humanitarian funding environment already constraining national response capacities.",0.85,P172479,d8b315f9,Implementation Status and Results Report,
ETH_2026_007,Humanitarian funding crisis threatening life-saving operations,"Weak institutional capacity at EDRMC compounds the humanitarian funding crisis by creating additional implementation bottlenecks. When 21 million people need assistance and WFP has already suspended aid to 650,000 vulnerable people, delays in government disbursement mechanisms further reduce the effectiveness of available resources and undermine coordination between international and national humanitarian operations.",0.82,P172479,d8b315f9,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The Amhara region's humanitarian crisis (4 million children out of school, 4,000+ schools closed) requires rapid shock response mechanisms. EDRMC's institutional delays in beneficiary confirmation directly impair the government's ability to deliver emergency assistance to conflict-affected populations in Amhara, potentially undermining stabilization efforts and community resilience.",0.75,P172479,d8b315f9,Implementation Status and Results Report,
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"With 288,000+ people displaced since July 2025 and 3.2 million children out of school in Oromia, timely shock response is critical. EDRMC's capacity constraints in confirming beneficiary numbers delay emergency assistance to conflict-affected populations, undermining the government's ability to stabilize communities and support peace agreement implementation.",0.78,P172479,d8b315f9,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The Early Warning System access constraints directly undermine coordinated response to Ethiopia's massive displacement crisis (3.3-4.7 million IDPs). Limited dashboard availability to prioritization committee institutions reduces institutional capacity to detect and respond to displacement shocks, exacerbating humanitarian conditions for vulnerable IDP populations already facing dire living conditions and reduced funding.",0.85,P172479,6278fe3e,Implementation Status and Results Report,
ETH_2026_007,Humanitarian funding crisis threatening life-saving operations,Early Warning System access constraints compound the humanitarian funding crisis by limiting real-time shock detection and coordinated response planning across institutions. Fragmented information access reduces efficiency in targeting scarce humanitarian resources and coordinating among donors and implementing partners during critical funding shortfalls affecting 21 million people in need.,0.8,P172479,6278fe3e,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The Early Warning System access constraints limit institutional capacity to coordinate early warning and response to conflict-driven shocks in Amhara, where 4 million children are out of school and 4,000+ schools remain closed. Fragmented early warning access reduces ability to anticipate and respond to humanitarian crises triggered by ongoing armed conflict and military operations.",0.75,P172479,6278fe3e,Implementation Status and Results Report,
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"Early Warning System access constraints undermine coordinated shock response in Oromia, where 3.2 million children are out of school and 288,000+ people have been displaced since July 2025. Limited dashboard availability to prioritization committee institutions reduces capacity to detect and respond to violence escalations and displacement waves affecting vulnerable populations.",0.75,P172479,6278fe3e,Implementation Status and Results Report,
ETH_2026_002,Political crisis in Tigray over electoral exclusion and armed faction tensions,The exclusion of five contested woredas from program coverage directly reflects the political and territorial fragmentation in Tigray resulting from the TPLF's deregistration and shrinking federal authority in key cities. The inability to serve populations in disputed areas is a direct manifestation of the governance breakdown and armed faction tensions that prevent normal administrative functioning.,0.85,P172479,545f58a2,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The contested woredas likely include areas affected by Fano insurgency in Amhara, where government control is contested and military operations continue. The exclusion of these areas from program beneficiary estimates reflects the security situation and territorial control disputes that prevent reliable program implementation and service delivery.",0.75,P172479,545f58a2,Implementation Status and Results Report,
ETH_2026_008,Fragile peace process implementation and lingering conflict dynamics in northern regions,The contested woredas are consistent with the unresolved territorial disputes and administrative fragmentation in northern regions following the 2022 Pretoria Agreement. The pending Western Tigray referendum and tensions between rival factions create administrative ambiguity that prevents clear program coverage and beneficiary identification in these areas.,0.8,P172479,545f58a2,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,The exclusion of contested woredas from program coverage reduces the project's ability to reach internally displaced populations in disputed territories. This directly undermines humanitarian service delivery to vulnerable IDPs in areas where territorial control is contested and administrative capacity is compromised.,0.7,P172479,545f58a2,Implementation Status and Results Report,
ETH_2026_006,Systematic crackdown on media freedom and civil society ahead of 2026 elections,"The SOE's anti-competitive behavior blocking private sector participation reflects broader governance patterns of state control and suppression of independent actors. This mirrors the systematic crackdown on civil society and independent institutions, suggesting a governance environment where state actors prioritize control over institutional pluralism and competitive market dynamics.",0.65,P156590,c7a06b1f,Implementation Status and Results Report,
ETH_2026_010,Legitimacy concerns over June 2026 elections amid insecurity and opposition exclusion,"The SOE's exclusionary behavior toward private sector competitors parallels the broader pattern of opposition exclusion and institutional closure evident in election dynamics. Both reflect governance fragility characterized by state actors limiting participation and competition, undermining institutional legitimacy and stakeholder confidence in rule-based systems.",0.6,P156590,c7a06b1f,Implementation Status and Results Report,
ETH_2026_006,Systematic crackdown on media freedom and civil society ahead of 2026 elections,"The elevation of Political and Governance risk from Moderate to Substantial directly reflects the deteriorating governance environment documented in the country risk. The systematic assault on press freedom (44+ journalists detained in 2025), suspension of media outlets, and shrinking civil society space represent core governance fragility that undermines institutional accountability and transparency—key factors in project implementation oversight and stakeholder engagement.",0.85,P156590,39a52448,Implementation Status and Results Report,
ETH_2026_010,Legitimacy concerns over June 2026 elections amid insecurity and opposition exclusion,"The substantial governance risk elevation is directly connected to the political legitimacy crisis surrounding the 2026 elections. Opposition exclusion (TPLF deregistration), potential boycotts, government crackdowns on independent oversight, and the cost-of-living crisis all undermine institutional credibility and political stability—creating an unstable governance environment that affects project implementation capacity and stakeholder confidence.",0.82,P156590,39a52448,Implementation Status and Results Report,
ETH_2026_002,Political crisis in Tigray over electoral exclusion and armed faction tensions,"The governance risk elevation reflects the deepening political crisis in Tigray, where electoral exclusion of the TPLF and shrinking federal authority in key cities represent fundamental governance breakdown. The escalating tensions between armed factions and loss of institutional control in Mekelle and other urban centers directly undermine the governance capacity required for project implementation.",0.78,P156590,39a52448,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The governance risk elevation is connected to the collapse of state authority in Amhara, where Fano militias maintain significant territorial control and the government relies on military operations (including drone strikes) rather than institutional governance. This represents a fundamental governance fragility that directly impacts project implementation capacity in affected regions.",0.75,P156590,39a52448,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The project's inability to complete data quality assurance activities due to security constraints is directly attributable to the ongoing Fano insurgency in Amhara. The risk summary notes that over 4 million children are out of school and 4,000+ schools remain closed due to armed conflict, indicating widespread disruption of institutional operations including health system monitoring activities. The persistent armed resistance and government counterinsurgency operations create the insecurity environment preventing routine health program assessments.",0.85,P175167,dbad4588,Implementation Status and Results Report,
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"If the health project operates in Oromia region, the persistent violence and displacement crisis directly impacts field-based monitoring activities. The documented attacks on civilians, displacement of 288,000+ people since July 2025, and closure of schools due to fighting create operational constraints that prevent health system staff from conducting routine data quality assessments in affected areas.",0.7,P175167,dbad4588,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The massive displacement crisis (3.3-4.7 million IDPs) and deteriorating humanitarian conditions directly constrain health system operations and monitoring capacity. Displaced populations and disrupted institutional infrastructure reduce the ability of health programs to conduct routine data quality assessments, as staff mobility, facility access, and data collection infrastructure are compromised by displacement dynamics.",0.75,P175167,dbad4588,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The Amhara region's ongoing armed conflict has directly disrupted health service delivery infrastructure. With over 4,000 schools closed and 4 million children out of school due to fighting, the same conflict dynamics are severely constraining implementation of RMNCH services for conflict-affected populations. The counterinsurgency operations and territorial control by multiple Fano factions create access barriers and institutional dysfunction that prevent health program implementation.",0.85,P175167,6c1636b3,Implementation Status and Results Report,
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"Oromia's persistent violence and displacement of over 288,000 people since July 2025 directly undermines health service delivery to conflict-affected populations. The continued attacks on civilians and intercommunal violence create insecurity that prevents both program implementation and access to RMNCH services for women and children in affected areas.",0.8,P175167,6c1636b3,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,The displacement of 3.3-4.7 million people creates severe operational challenges for health service implementation. IDPs in precarious conditions with shrinking humanitarian funding face barriers to accessing RMNCH services. The project's implementation delays for conflict-affected populations directly reflect the broader humanitarian crisis and institutional capacity constraints created by mass displacement.,0.88,P175167,6c1636b3,Implementation Status and Results Report,
ETH_2026_007,Humanitarian funding crisis threatening life-saving operations,"The severe humanitarian funding crisis and WFP's suspension of assistance to 650,000 malnourished women and children reflects the broader resource constraints affecting all health and social service delivery. The Ministry of Finance counter-funding delays documented in the project risk are symptomatic of this wider funding crisis that undermines implementation of health programs for vulnerable populations.",0.82,P175167,6c1636b3,Implementation Status and Results Report,
ETH_2026_008,Fragile peace process implementation and lingering conflict dynamics in northern regions,The fragile peace process in northern regions and continued displacement of Tigrayans from Western Tigray create ongoing instability that prevents stable implementation of health services. The lingering conflict dynamics and territorial disputes undermine institutional capacity and access needed to deliver RMNCH services to conflict-affected populations in these regions.,0.78,P175167,6c1636b3,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The Amhara region's ongoing armed conflict has directly disrupted health service delivery infrastructure. With over 4,000 schools closed and 4 million children out of school due to fighting, the same conflict dynamics preventing educational access are impeding establishment of mobile health teams. Government resource constraints from military operations and insecurity in rural areas make it difficult to deploy and sustain health services in conflict-affected zones.",0.85,P175167,0f44c927,Implementation Status and Results Report,
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"Violence and displacement in Oromia (3.2 million children out of school, 288,000+ displaced since July 2025) create similar operational barriers to health service delivery. Insecurity in rural areas prevents mobile health teams from accessing and serving conflict-affected populations, while displacement disrupts both beneficiary populations and implementation capacity.",0.8,P175167,0f44c927,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The 3.3-4.7 million internally displaced persons create both urgent need for mobile health services and severe implementation constraints. Displacement disrupts health system infrastructure, creates access barriers in IDP camps and host communities, and strains government capacity to establish and maintain health service delivery mechanisms, directly explaining delays in MHNT establishment.",0.88,P175167,0f44c927,Implementation Status and Results Report,
ETH_2026_007,Humanitarian funding crisis threatening life-saving operations,"The humanitarian funding crisis directly explains the Ministry of Finance counter-funding delays cited in the project risk. With WFP suspending assistance to 650,000 people and 21 million in need of humanitarian aid, government budget constraints are acute. These financing pressures cascade to health sector investments, preventing the government from providing required co-financing for mobile health team establishment.",0.92,P175167,0f44c927,Implementation Status and Results Report,
ETH_2026_008,Fragile peace process implementation and lingering conflict dynamics in northern regions,Ongoing displacement from Western Tigray and continued sexual violence by Eritrean troops in occupied areas create humanitarian needs and operational challenges for health service delivery in northern regions. The fragile peace environment and territorial disputes undermine the stability needed to establish and maintain mobile health infrastructure in these conflict-affected areas.,0.75,P175167,0f44c927,Implementation Status and Results Report,
ETH_2026_005,Mass internal displacement and deteriorating humanitarian conditions,"The non-operational IDP clinics directly impact the 3.3-4.7 million internally displaced persons facing dire living conditions. The project's failure to deliver health services to IDPs exacerbates the humanitarian crisis, particularly as funding constraints limit national response capacities—a dynamic mirrored in the project's counter-funding delays.",0.92,P175167,42c2ddc0,Implementation Status and Results Report,
ETH_2026_007,Humanitarian funding crisis threatening life-saving operations,"The project's implementation failure stems from Ministry of Finance counter-funding delays, directly reflecting the broader humanitarian funding crisis. The inability to operationalize health clinics for IDPs exemplifies how funding constraints are undermining life-saving operations across Ethiopia's humanitarian response.",0.88,P175167,42c2ddc0,Implementation Status and Results Report,
ETH_2026_003,Persistent Fano insurgency and counterinsurgency operations in Amhara region,"The Amhara region's ongoing conflict has displaced populations and disrupted service delivery infrastructure. Non-operational clinics for IDPs in conflict-affected areas prevent access to healthcare for populations displaced by Fano insurgency operations, undermining humanitarian response in an active conflict zone.",0.72,P175167,42c2ddc0,Implementation Status and Results Report,
ETH_2026_004,Ongoing violence and displacement in Oromia region despite partial peace agreements,"Oromia's ongoing violence has displaced over 288,000 people since July 2025. Non-operational IDP clinics prevent healthcare access for displaced populations in this region, directly undermining humanitarian response to conflict-driven displacement.",0.7,P175167,42c2ddc0,Implementation Status and Results Report,
