related_country_risk_id,related_country_risk_title,susceptibility_summary,evidence_quote,confidence,PROJ_ID_IB
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The PAD rates political and governance risk as Substantial and explicitly flags that poor governance may reduce commitment during implementation in the road sector. Executive patronage dynamics could distort beneficiary selection criteria, procurement processes, and the allocation of road maintenance funds, all of which the PAD identifies as existing weaknesses.","Political and governance is rated Substantial. This project's activities (unlike policy reforms, for instance) are not highly sensitive to moderate perturbations in the political dispensation, although pronounced degeneration in political stability could still undermine their implementation. The more likely risk is that poor governance may affect implementation for the road sector, resulting in reduced commitment during implementation. These risks will be mitigated through close supervision, strict adherence to the criteria for beneficiary selection, and fiduciary oversight.",0.82,P178683
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The project's financial management assessment identifies weak PFM environment and governance practices as inherent risks. Given that civil society oversight is suppressed and the Anti-Corruption Commission's effectiveness is limited, the external accountability mechanisms that would normally complement internal project controls are weakened, increasing the risk of undetected misuse of project funds.",Inefficient service delivery due to poor governance practices and weak PFM environment is an inherent issue... The FM risk before considering the mitigating measures is 'High' mainly due to: (i) Insufficient experience of MTA with the World Bank's FM procedures; (ii) limited capacity to meet the project's FM requirements; and (iii) overall weaknesses and shortcomings in the control environment.,0.75,P178683
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The PAD identifies local conflicts among project beneficiaries as a social risk, particularly related to disrupted navigation and reduced fish catch downstream of bridge construction sites. In an environment with systemic political violence and weak dispute resolution, such local tensions could escalate and disrupt construction activities or community engagement processes.","Other risks include... local conflicts among project beneficiaries related to benefit sharing in the event that the physical interventions under Component 2 result in impacts such as interrupted navigation, reduced fish catch, and poor water quality for communities downstream of the bridges.",0.65,P178683
SLE-005,Border Conflict with Guinea Following Military Incursion,"The Kabba Bridge under Component 2 is located in Karene/Northwest Region on the route to the Guinea border (Makeni-Kamakwei-Madina Oula-Guinea Border). An unresolved and potentially escalating border dispute with Guinea could disrupt construction access, contractor logistics, and the anticipated regional integration benefits of this specific bridge investment.","Kabba Karene/Northwest Region Makeni-Kamakwei-Madina Oula-Guinea Border Little Scarccies 150 Bombali/Karene... (d) regional integration, that is, the potential to enhance connectivity to regional markets in neighboring countries.",0.75,P178683
SLE-006,Spillover Risk from Sahel Terrorism and Expanding Militant Networks in Coastal West Africa,"The project's rural bridge and road construction activities are concentrated in remote districts (Bo, Moyamba, Tonkolili, Karene) where the PAD acknowledges rural accessibility is as low as 2 percent. Expanding militant networks exploiting ungoverned spaces in coastal West Africa could threaten contractor security and access in these isolated construction sites, particularly during the multi-year implementation period.","In the northern and southern regions, for example, rural accessibility is estimated to be as low as 2 percent. The lack of access to all-season roads and bridges weakens economic integration and productivity.",0.52,P178683
SLE-008,Displacement and Weak Asylum System Capacity,"The PAD identifies physical and economic displacement as a key social risk from project activities, including loss of livelihoods for boat and ferry operators following bridge construction. In a context where Sierra Leone's displacement management systems already face resource shortages and weak institutional capacity, the project's resettlement and livelihood restoration obligations may be difficult to fulfill adequately.","Key social risks associated with project activities include (a) physical and economic displacement due to the project activities in the short term and the loss of livelihoods of boat/ferry operators, loaders, and traders after the construction of the bridges.",0.68,P178683
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The PAD acknowledges that a general election scheduled for early 2023 (during the first year of project implementation) could cause unforeseen incidents that temporarily disrupt project activities, including procurement slowdowns and difficulty convening governance bodies such as the PSC and TC.","A general election is currently scheduled for early 2023, when the project will be in the first year of its implementation. There could be unforeseen incidents during and following the election that could affect project activities temporarily or indirectly, such as a slowdown of the procurement process due to delays in obtaining internal clearance, or difficulty organizing timely PSC or TC meetings.",0.82,P177077
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The PAD identifies political interference and conflicts of interest as explicit risks to project implementation, drawing on lessons from a prior World Bank project in Sierra Leone where the government deviated from agreed design without due process. The project's reliance on MIC and multiple MDAs under executive oversight creates vulnerability to patronage-driven interference in procurement and governance arrangements.",The Implementation Completion and Results Report noted that the Government had deviated from the agreed-upon design without following due process in such a way that compromised the core principle of private sector participation in the project. The need for more robust risk mitigation measures to address potential political interference and conflicts of interest was raised for future operations.,0.88,P177077
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The PAD identifies a deep-rooted trust deficit between the government and telecom operators as a stakeholder risk, and notes that civil society and private sector engagement are critical to project success. Suppression of civil society and co-optation of CSOs through state contracts could undermine the independent stakeholder engagement and citizen feedback mechanisms the project depends on.","A deep-rooted issue of trust between the Government and telecom operators has been observed. The PCU will maintain effective engagement with the private sector, academia, civil society, and development partners... To mitigate risks, it is critical to implement the SEP effectively, and to maintain strong coordination and stakeholder management throughout the project implementation period.",0.7,P177077
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The PAD acknowledges that election-related incidents could disrupt project activities during the early implementation phase. Political violence or civil unrest could impede field activities, delay procurement, and affect the safety of project staff and beneficiaries, particularly for rural connectivity and digital skills training activities in underserved communities.","There could be unforeseen incidents during and following the election that could affect project activities temporarily or indirectly, such as a slowdown of the procurement process due to delays in obtaining internal clearance, or difficulty organizing timely PSC or TC meetings. These risks will be mitigated with close implementation support by the World Bank as well as in advance preparation of the annual work plan and time bounded action plans.",0.73,P177077
SLE-008,Displacement and Weak Asylum System Capacity,"The PAD identifies the risk of exclusion of vulnerable populations, including hard-to-reach communities, as a key social risk. Displaced persons and refugees, who may be among the most marginalized and digitally excluded, could be systematically missed by the project's beneficiary targeting and digital skills training outreach, particularly given weak institutional capacity to identify and register such populations.","The risk of exclusion of vulnerable populations such as youth, women, PWDs, and hard-to-reach communities has been identified as a key social risk. Barriers such as (i) limited digital literacy and skills; (ii) high telecom tariffs; (iii) lack of affordable internet access and access to required devices; (iv) lack of electricity in rural areas to facilitate digital connectivity; and (v) lack of assistive devices such as the talking software/screen readers required for PWDs are likely to widen the digital gap and exclude these groups from project benefits and opportunities.",0.6,P177077
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The PAD explicitly identifies political transition risk tied to the 2023 election cycle as a threat to government priorities for the project. Deep ethnic and political divisions that could destabilize the post-election environment may undermine the broad-based institutional support the project depends on, particularly the multi-stakeholder Steering Committee structure designed to insulate the project from individual political actors.","Political risk is Substantial, as 2023 is an election year and political transition could affect the Government's priorities with respect to the operation. To mitigate this risk, the project will support a Steering Committee to ensure that the project's support is broad based and is not dependent on any individual.",0.82,P177947
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The PAD identifies governance risks at the state-owned banks (SoBs), noting that nearly 60 percent of corporate governance benchmarks were found 'not observed' and that SoBs are primarily used to finance the government rather than serve the private sector. Executive influence over state institutions—including patronage-driven appointments—could compromise the governance reforms and due diligence processes the project relies on for PFI accreditation and LOC management, particularly given SoB eligibility for the line of credit.","The governance risk is Substantial. The 2022 Gaps Assessment presented an analysis of corporate governance benchmarks based on international best practices in relation to the governance framework and practice at the SoBs. Of the 53 benchmarks evaluated in the Gaps Assessment, 31 (almost 60 percent) were found to be 'not observed' and 20 'partly observed.'",0.8,P177947
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The PAD identifies substantial fiduciary risks including fraud, corruption, collusion, and abuse of administrative positions as inherent project risks. In an environment where civil society oversight is suppressed and anti-corruption accountability is weakened, the project's reliance on internal controls, audit committees, and grievance mechanisms may be insufficient to detect or deter misuse of project funds, particularly given the acknowledged weak complaint redress system.","There is a possibility of circumventing the internal control system such as colluding practices, bribes, abuse of administrative positions, mis-procurement among other considerations are critical risks that may arise. Other internal control incidences that may expose the project to fraud and corruption include but are not limited to (a) late submission of supporting documents; (b) poor filing and record-keeping practices; (c) lack of work plans and poor budget discipline; (d) unauthorized commitment to suppliers, and (e) use of funds in excess of budgeted amount without World Bank clearance.",0.72,P177947
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The PAD identifies GBV and SEA/SH as explicit project risks, noting that improving women's financial inclusion can upset gender relations and increase intimate partner violence risk. In a context of systemic political violence and weak security sector accountability, the project's ability to protect women beneficiaries and project workers from SEA/SH—and to ensure survivor-centered complaint management—may be undermined.","Although financial inclusion may decrease family vulnerability and is an important driver for women's economic empowerment, it can also upset gender relations at home and increase the risk of intimate partner violence. Additionally, it may also put workers and beneficiaries at risk for SEA/SH. Project staff and implementing partners interfacing directly with beneficiaries may demand sexual favors in exchange for enrolment or qualification.",0.7,P177947
SLE-008,Displacement and Weak Asylum System Capacity,"The PAD identifies social risks related to the exclusion of vulnerable groups from project benefits, including rural populations and those lacking documentation. Forcibly displaced persons—who face resource shortages and limited institutional support—are among those least likely to possess the documentation required to access formal financial services, potentially excluding them from project benefits despite the project's financial inclusion mandate.","The main reasons people lack accounts include insufficient funds (89 percent), lack of necessary documentation (32 percent), high costs of financial services (22 percent), and long distances to financial service providers (20 percent).",0.62,P177947
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The project's governance reform agenda—strengthening local councils relative to central ministries and chiefdom administrations—is directly vulnerable to executive interference. The PAD explicitly acknowledges that historical government decisions have recentralized functions away from LCs, and that political ambivalence toward decentralization persists at the highest levels. Executive patronage dynamics could undermine the policy reforms the project depends on, particularly the new Decentralization Policy and Fiscal Decentralization Policy.","historical experience with government reforms in this area has demonstrated that reform does not consistently lead to decisions that will empower LCs in comparison to other levels of government, for example central ministries and Chiefdom administration. There is a risk, therefore, that Government's review of legal, policy, and administrative mandates for service delivery among different government institutions does not result in further support to strong LCs; and instead rolls back (or fails to advance) the decentralization agenda.",0.92,P172492
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The PAD explicitly identifies ethno-regional political divisions as a historic fragility affecting project implementation context. The project's decentralization objectives are directly linked to rebalancing political power away from Freetown and reducing winner-takes-all central competition. Renewed ethnic and political tensions could politicize grant allocations, LC elections, or intergovernmental fiscal transfers, disrupting project outcomes.","These fragilities include: the fractious political settlement, political uncertainty and a North-South ethno-regional divide, potential instability from fiscal reform, a frustrated youth demographic and conflict-inducing effects of concessions... The re-establishment of LCs and the process of decentralization more broadly was explicitly aimed at rebalancing the distribution of political power in the country so as reduce the intensity of political competition and therefore promote national stability.",0.85,P172492
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The project relies on civil society and community participation for accountability at the local level, including public hearings as eligibility criteria for grants. The PAD identifies a weak complaint redress system and fraud and corruption risks including collusion and outside interference in contracting as explicit procurement risk factors. Suppression of civil society voices and co-optation through state contracts could undermine the citizen accountability mechanisms the project depends upon.","Weak complaint redress system... Fraud and corruption risks, including collusion and outside interference, in contracting process... LC has conducted at least one public hearings, as part of the annual plan and budget preparation process [as a minimum condition for grant access].",0.82,P172492
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The project involves field visits by the World Bank and grants management teams to all district councils across the country, including hard-to-reach areas. The PAD acknowledges the country's post-conflict and fragility context as a basis for elevated procurement risk. Political violence or election-related unrest could disrupt field supervision missions, delay implementation support, and impede the physical oversight of subproject execution that the grants management framework requires.","Given the country's post-conflict and fragility context, the procurement management risk assessment found that even though the current staff in PMU are doing procurement in World Bank-funded projects... the FDD and grants management team will be required to perform field visits – with both a technical and fiduciary objective – at least on three stages: at the beginning of the project implementation, at the point of 30-50 percent of physical progress and following completion.",0.78,P172492
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,The PAD explicitly identifies a North-South ethno-regional divide and political polarization along ethnic lines as fragility risks that threaten national cohesion. These divisions could undermine the multi-city project's ability to secure consistent political support across regions and could affect community engagement and beneficiary targeting in cities governed by opposition parties.,"A persistent vulnerability to multidimensional shocks (epidemic, economic, and climatic), a North-South ethno-regional divide, high youth unemployment, inequality and poverty rates, and weak institutions, threaten national cohesion... Political polarization along ethnic lines is an underlying basis for the struggle over resources, while patrimonial practices in the awarding of jobs, contracts, and political appointments have been evident under successive administrations.",0.82,P168608
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The PAD identifies that the mayors in five of the seven beneficiary cities are from the opposition party, including Freetown where the bulk of investments are concentrated. Executive-level political interference could disrupt the central government's cooperation with opposition-led city councils, particularly on land acquisition for the landfill where the FCC depends on central government action. Patrimonial practices in appointments and contracts further risk distorting project implementation.","Another key political risk is related to the upcoming elections and the fact that the mayors in five of the seven beneficiary cities are from the opposition party, including Freetown where the bulk of investments are focused. This includes the landfill site where the FCC is relying on the central government to finalize the purchase of the land. A clear project budget allocation and clear implementation arrangements are set out to help manage these risks; however, even with such mitigation measures in place, political risk remains substantial.",0.92,P168608
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The PAD identifies fraud and corruption risks in procurement and contract management as significant implementation vulnerabilities, including collusion, bribes, and abuse of administrative positions. The weak anti-corruption accountability environment in Sierra Leone increases the likelihood that these risks materialize, potentially diverting project resources.","Possibility of circumventing the internal control system such as colluding practices, bribes, abuse of administrative positions, mis-procurement among other considerations are critical risks that may arise. Other internal control incidences that may expose the project to fraud and corruption include (i) late submission of supporting documents; (ii) poor filing and records; (iii) lack of work plans and or budget discipline; (iv) unauthorized commitment to suppliers; and (v) bypassing budget and expenses vetting procedures.",0.78,P168608
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The PAD acknowledges that political risk is rated Substantial partly due to upcoming elections, and that the project operates in a context where political polarization and patrimonial practices are entrenched. Election-related violence or instability could disrupt construction works, community engagement activities, and the functioning of ward committees that are central to neighborhood upgrading implementation.","Another key political risk is related to the upcoming elections and the fact that the mayors in five of the seven beneficiary cities are from the opposition party, including Freetown where the bulk of investments are focused... A clear project budget allocation and clear implementation arrangements are set out to help manage these risks; however, even with such mitigation measures in place, political risk remains substantial.",0.75,P168608
SLE-008,Displacement and Weak Asylum System Capacity,"The project targets densely populated informal settlements for upgrading and anticipates physical and economic displacement of residents during construction. In a context where displacement is already a significant challenge and institutional capacity to manage it is weak, the project's own acknowledgment that cumulative resettlement impacts could be significant raises concerns about effective beneficiary protection and targeting.","Although in situ slum upgrading is proposed to minimize resettlement to the extent feasible, considering the congested nature of the slums, some residual physical and economic displacement, both temporary and permanent are anticipated. The cumulative resettlement impacts from the three (3) proposed upgrade sites could potentially be significant.",0.68,P168608
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The project relies on MLHCP as the implementing agency, an institution with low capacity and no prior World Bank project experience. In a governance environment characterized by patronage and weak institutional independence, the PCU may be vulnerable to political interference in staffing, procurement, and financial management decisions, compounding already high fiduciary risks.",The overall FM risk for the project at preparation is assessed as High since this project is the first World Bank financed project implemented by MLHCP... The overall procurement risk associated with the project is High. Limited procurement capacity and past experiences under other projects with delays as well as insufficient competition in procurement... Fraud and corruption risks [including collusion and outside interference] in contracting process.,0.73,P177031
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The project explicitly acknowledges that local elites and private sector actors benefiting from the status quo may attempt to undermine reforms. In an environment where anti-corruption accountability is weak and civic space is constrained, these actors face fewer checks on their ability to interfere with land registration and institutional reform activities.",Local elites and private sector actors benefitting from the status quo may attempt to undermine reforms. Distrust between government and customary institutions could be elevated.,0.78,P177031
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The project operates in a context where land disputes have historically fueled social conflict and played a role in Sierra Leone's civil war. The demarcation and registration of land rights in customary areas risks exacerbating existing ethnic and community tensions, particularly where boundary disputes between chiefdoms, communities, and families are prevalent.","Unresolved land issues and gender inequality in the land sector pose a significant risk to Sierra Leone's social cohesion and economic development. Land related disputes played a prominent role in the country's civil war, and it is estimated that 60 percent or more of all cases in the High Court arise from land disputes... Boundary disputes between Chiefdoms, between communities, between communities and private individuals or investors, and between extended families and individual households within families are a frequent source of conflict.",0.8,P177031
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"Field teams conducting participatory land surveys and registration in communities will operate with limited supervision in areas that may be affected by communal or political violence. The PAD acknowledges SEA/SH risks arising from project actors having power over beneficiaries in field settings, and broader security incidents could disrupt field operations, endanger staff, and deter community participation.","Similarly, project actors may engage directly with beneficiaries in land mapping and assessment with limited supervision, SEA/SH could occur. The project has conducted a Gender and GBV (SEA/SH) risk assessment and will develop a GBV Action Plan prior to World Bank Board approval.",0.65,P177031
SLE-005,Border Conflict with Guinea Following Military Incursion,"The project plans to establish a national geodetic network including Continuously Operating Reference Stations (CORS) across the country, and to conduct land registration in provincial areas. Border tensions with Guinea could complicate field operations in border-adjacent provinces and raise security concerns for survey teams operating near contested boundary areas.","To provide a geodetic reference frame for the land administration system and other spatial data capturing activities, the project will finance the establishment of a new national geodetic network... The geodetic network will at a minimum cover the target areas for land registration activities under component 3... Once the pilot work in the provinces is completed, the project will finance the actual mapping and registration of customary rights and establishment of required land committees in priority areas.",0.52,P177031
SLE-008,Displacement and Weak Asylum System Capacity,"The project aims to identify and record land rights of people living in high-risk zones, including for disaster response and resilient planning. Forcibly displaced persons and irregular migrants present in Sierra Leone may not be captured in cadastral records or may be occupying land informally, undermining the completeness and accuracy of the land registry and limiting the project's ability to reach all vulnerable populations in high-risk areas.","The project will use the base maps and digital terrain models from component 2's base mapping activities to prepare risk maps for the project areas to identify people living in high-risk zones... During the field work activities, the project will inform landowners and land users in these high-risk areas about the climate related risks within their specific location.",0.6,P177031
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The PAD explicitly acknowledges that a general election scheduled during early project implementation could disrupt key startup activities, including establishment of the Project Implementation Unit. Given Sierra Leone's deep ethnic and political fault lines exposed around elections, this risk is operationally concrete and could delay targeting, enrollment, and payment system setup during a critical window.","A general election is currently scheduled for early 2023 when the project will still be in the first year of its implementation. There could be unforeseen incidents during and following the election that may affect project activities temporarily, delaying important implementation activities such as the setting up of the Project Implementation Unit.",0.9,P176789
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The PAD identifies political interference in governance arrangements as a rated Substantial risk, and specifically flags that the political arm of implementing entities may unduly interfere with or override project financial management controls. Given the broader pattern of executive overreach and patronage-driven public institutions in Sierra Leone, this creates a direct vulnerability in project fiduciary integrity and targeting decisions.","The political arm of the entity and/or management may unduly interfere with, and/or override, project FM controls. Weak capacity in undertaking financial governance and oversight.",0.88,P176789
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The PAD documents a prior fraud incident involving NaCSA staff under a COVID-19 emergency cash transfer, including cash extortion from potential beneficiaries, and notes that improvements to fiduciary systems have been slow. In an environment where civil society oversight is suppressed and anti-corruption accountability is weakened, the project's reliance on internal institutional reform to prevent recurrence may be insufficient.","Following allegations of fraud and corruption on the second COVID-19 ECT (ECT II) enrolment and payments in May to June 2021, five NaCSA staff financed by the SSN Project were implicated in fraudulent activities on ECT II. The investigation confirmed evidence of cash extortion from potential beneficiaries... Although NaCSA has been successfully implementing the SSN Project for over seven years, there continue to be weaknesses in the fiduciary systems and improvements have been slow.",0.85,P176789
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The PAD acknowledges that political and governance risks are rated Substantial and that unforeseen incidents during and following elections could affect project activities. Patterns of political violence and restrictions on assembly could disrupt community-level targeting, enrollment, and public works activities, particularly in areas where political competition is intense.","Political and Governance risks are rated Substantial. A general election is currently scheduled for early 2023 when the project will still be in the first year of its implementation. There could be unforeseen incidents during and following the election that may affect project activities temporarily, delaying important implementation activities such as the setting up of the Project Implementation Unit.",0.78,P176789
SLE-008,Displacement and Weak Asylum System Capacity,"The project's beneficiary targeting relies on household-level data and a social registry (SPRINT) built from existing population data. Forcibly displaced persons and refugees with weak documentation or not captured in existing datasets may be systematically excluded from the targeting process, undermining the project's goal of reaching the most vulnerable.","The new beneficiary households for the cash transfers will be identified using a three-stage targeting approach, combining (a) geographical; (b) community-based; and (c) proxy-means testing methods... Once households are identified and enrolled into the program, the household will nominate a representative, preferably a female, to collect the transfer.",0.65,P176789
SLE-001,Deep Ethnic and Political Divisions Threatening National Cohesion,"The PAD explicitly acknowledges that Sierra Leone's political environment is fragile and that a general election during project implementation could disrupt activities. Ethnic and political divisions could translate into localized disruptions to construction, community engagement, or beneficiary targeting across the multiple districts covered by the project.","There will be a general election in early 2023 when the project is going to be still under implementation. There could be incidents to and following the general election, which could impact project implementation temporarily, but these are considered to be manageable.",0.88,P171059
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The PAD identifies political interference in project implementation as a substantial risk, noting that the Ministry of Energy remains involved in day-to-day utility operations and that governance constraints across MDAs negatively affect service delivery. Executive overreach could undermine the independence of implementing agencies (EDSA, MoE) and procurement integrity.","The risk of political interference and governance is mitigated through minimizing the Government's direct interfering in project implementation and ensuring IDA's procurement regulation is strictly followed... Due to overreliance on funding interventions from GoSL, the MoE is still involved in the day-to-day operations of the two utilities.",0.85,P171059
SLE-003,Suppression of Civil Society and Erosion of Anti-Corruption Accountability,"The PAD identifies fraud and corruption—including collusion and outside interference in contract processing—as a procurement risk, and notes that the country's transparency index is low. A weakened civil society and limited anti-corruption accountability reduce the effectiveness of external oversight mechanisms that the project relies upon.",The political and governance risk is rated Substantial as the country's political environment is still fragile and the country's transparency index is low... Fraud and corruption risks (including collusion and outside interference in contract processing).,0.75,P171059
SLE-004,Political Violence Including State Security Force Abuses and Election-Related Violence,"The PAD acknowledges that election-related incidents could temporarily disrupt project implementation, and that the country's fragile political environment poses ongoing governance risks. Construction activities spanning multiple districts increase exposure to localized political violence or civil unrest that could affect contractor access and worker safety.","There will be a general election in early 2023 when the project is going to be still under implementation. There could be incidents to and following the general election, which could impact project implementation temporarily... The reestablishment of democracy in Sierra Leone over four elections since 2002 is an important achievement but worrying signs of fragility remain... almost every by-election since has been marred by some violence and disputed outcomes.",0.78,P171059
SLE-008,Displacement and Weak Asylum System Capacity,"The PAD targets rural and peri-urban communities with very low electricity access, including areas with high poverty and displacement vulnerability. Displacement dynamics could undermine accurate beneficiary targeting and household connection counts, particularly in communities selected for mini-grid and standalone solar interventions where population data may be unreliable.","The dominant social contract is within ethnically aligned political structures with multiple centers of power in cultural authorities, which undermines social cohesion. The impact of natural hazards and climate-related shocks, as well as macroeconomic shocks and epidemics, is worsened in the presence of pre-existing vulnerabilities and fragility... Poverty remains disproportionately high in rural areas (78.5 percent).",0.55,P171059
SLE-002,Executive Overreach and Concentration of Power Undermining Democratic Institutions,"The PAD explicitly identifies political interference in project financial management as a high-rated risk. Given the country-level pattern of executive overreach and use of public institutions for patronage, the project's governance arrangements—which rely on ministerial-level bodies and government-managed fiduciary systems—are vulnerable to politically motivated interference that could undermine financial controls and project integrity.","The political arm of the entity and/or management may unduly interfere with, and/or override, project FM controls. H An independent PFMU with specialists paid by the project will manage the fiduciary aspects of the project to ensure independence.",0.88,P167897
