related_country_risk_id,related_country_risk_title,susceptibility_summary,evidence_quote,confidence,PROJ_ID_IB
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"High political/governance risk could disrupt coordination and decision-making needed for implementation across levels of government, and may affect allocations and site selection decisions that are central to where the project invests.",“A fluid political and security situation results in a high political/governance and security risk… Relations among Federal Government of Somalia (FGS) and Federal Member States (FMS) could impact project implementation… There is also a potential risk regarding contestation around the allocations and selection of project locations.”,0.75,P181341
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"Because the project targets Mogadishu and “major load centers in the Federal Member States (FMS)” and relies on coordination with FMS and private ESPs, federal–member state tensions could impede implementation arrangements and agreement on project priorities and locations.","“The project will rely on the existing institutional and implementation arrangements established under the ongoing ESRP. The project will be implemented by the Project Implementation Unit (PIU) established at the Ministry of Energy and Water Resources, in close coordination with the ESPs… Relations among Federal Government of Somalia (FGS) and Federal Member States (FMS) could impact project implementation.”",0.7,P181341
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Implementation may need to pause, shift, or redesign subprojects if site access becomes restricted; the project explicitly anticipates restricted access and relies on contingency planning and flexible site selection.","“In addition to flexibility with regard to selection of sites subject to the security situation, the project implementation will consider contingency plans and require contractors to put in place standard operating procedures for undertaking project activities in case of restricted site access. Specifically, the project design offers flexibility to undertake activities in areas with low security risk and, when required, select new sites.”",0.75,P181341
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"Active insecurity and the presence of al‑Shabaab-controlled areas can directly block implementation, limit site access, and increase risks to contractors and staff, requiring site substitution and additional security planning that can delay delivery of works and services.","“There are widespread security risks in Somalia to varying degrees for communities, contractors, and project staff. Implementation will not be possible in al-Shabab–controlled areas and security issues need to be carefully assessed and managed elsewhere.”",0.84,P177627
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"Intergovernmental tensions between the Federal Government and Federal Member States are identified as a direct implementation risk, potentially affecting coordination, approvals, and the ability to operate across states.",“Relations among the FGS and FMSs could impact project implementation.”,0.7,P177627
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,Project financing and implementation in FMSs/Somaliland are conditioned on intergovernmental arrangements; fragmentation or breakdowns in these arrangements could halt disbursements and disrupt implementation sequencing.,"“Prior to implementing any activities under their Respective Activities under the Project and prior to provision of any funds to any of the Federal Member States or Somaliland for the purpose of carrying out of their Respective Activities under the Project, the Recipient shall make part of the proceeds of the Financing available on grant terms, to each Federal Member State and Somaliland under such agreements (“Subsidiary Agreements”) between the Recipient and such Federal Member States and Somaliland respectively, under terms and conditions acceptable to the Association.”",0.74,P177627
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","Displacement and associated social tensions can undermine targeting and equitable benefit distribution, and intensify conflict over water resources around project infrastructure, potentially disrupting community-level implementation and outcomes.","“There is the potential for exclusion of disadvantaged and vulnerable groups (for example, minority and marginalized groups, internally displaced people, communities living in remote areas where access is limited...) from decision making and project benefits with associated elite capture.”",0.73,P177627
SOM-001,"Severe hunger and worsening food insecurity driven by drought, conflict, and aid cuts","The PAD links severe drought/famine conditions with food insecurity and internal displacement, indicating that these shocks form part of the operating context and can affect the project’s ability to sustain progress and achieve intended resilience outcomes.","“While there was a modest economic recovery in 2021, with growth estimated at 2.9 percent, severe drought and famine conditions are emerging, which is contributing to high levels of food insecurity (affecting 7.1 million people) and internal displacement.”",0.67,P177627
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Conflict dynamics can abruptly affect physical access to subproject sites and constrain monitoring/supervision, potentially disrupting works, community engagement, and verification of results (including reliance on remote monitoring when access is not possible).","“Parts of Somalia remain in conflict, which affects access to the project sites and insecurity for staff of both government agencies and contractors.”",0.8,P177627
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"Project fiduciary performance and continuity of PFM oversight functions may be disrupted by election-related political turnover affecting key finance/audit leadership, which the PAD flags as likely to exacerbate fiduciary risks.","Potential change in political regime in the upcoming elections and subsequent changes to the current key PFM institutions’ leadership—Office of the Auditor General, Accountant General, and Director Generals—is likely to further exacerbate the fiduciary risks.",0.84,P177627
SOM-010,Political constraints restrict humanitarian operations and movement in the north,Political-administrative contestation in northern areas may disrupt delivery arrangements; the PAD anticipates this by shifting to third-party implementation where administrative responsibility is unclear.,"To provide water, agriculture, and environment services to the people in the regions of Sool and Sanaag—where there is a lack of clarity regarding administrative responsibility—the Federal Government will contract third party implementers.",0.76,P177627
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"Insecurity may render parts of the country inaccessible, disrupting implementation, supervision, and achievement of results.","“Heightened security risks often make parts of the country inaccessible for project implementation and supervision, putting Project achievements at risk.”",0.86,P172434
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"Unsettled roles and weak federal coordination across Federal Member States could disrupt governance arrangements needed for nationwide, coherent implementation (including in education).","“The division of roles and responsibilities between the FGS and FMS, and within the FMS, is still in flux, including for the education sector. The federal government’s ability to coordinate the sector is weak with some FMS retaining a considerable degree of autonomy from the federal government.”",0.8,P172434
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","Drought/floods and conflict can displace people and make direct beneficiary access challenging, potentially undermining targeting, outreach, and monitoring in project areas (including for vulnerable groups such as IDPs).","“The risk arises from the Project being implemented in areas of fragility due to endemic poverty, acute drought, floods and protracted conflict and insecurity which may make direct access to beneficiaries challenging…”",0.81,P172434
SOM-001,"Severe hunger and worsening food insecurity driven by drought, conflict, and aid cuts","Climate shocks (drought/flooding) are directly recognized as threats to education infrastructure and continuity, which could disrupt outcomes (school functionality and attendance) in targeted areas.","Somalia has high exposure to multiple climatic risks, notably drought and flooding. The flooding in central and southern parts of the country in October 2019 caused substantial damage to a struggling education system, putting education outcomes of children of the region at greater risk as approximately 200 schools had been destroyed discontinuing education of 27,500 to 33,701 children.",0.72,P172434
SOM-010,Political constraints restrict humanitarian operations and movement in the north,Political non-participation by Somaliland and/or inability to agree on funds-flow arrangements could prevent implementation in Somaliland and undermine achievement of PDO targets.,"“Due to political considerations, Somaliland may not participate in project activities, hence risks not benefitting from project interventions to improve education outcomes. This would also mean that the Project in unable to achieve its PDO targets.”",0.84,P172434
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"Direct access to beneficiaries may be challenging in fragile/conflict-affected areas, potentially undermining stakeholder engagement, community participation, and grievance handling—key to implementation effectiveness.","The risk arises from the Project being implemented in areas of fragility due to endemic poverty, acute drought, floods and protracted conflict and insecurity which may make direct access to beneficiaries challenging and amplify risks related to lack of effective stakeholder engagement, community participation, grievance redress and application of other risk mitigation measures.",0.8,P172434
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,Implementation depends on sustained federal–member state collaboration and joint decision-making; prior experience indicates that weak collaboration can stall implementation.,"One key lesson was on emphasizing greater collaboration between the federal government and member states. Creating a platform for continuous consultation and joint decision-making has been important for implementation, lack of which has stalled implementation in the past.",0.74,P172434
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,Delays/contestation around elections could disrupt and delay project start-up and early implementation if government legitimacy is questioned.,“The impasse in the country on the election process may cause disruptions and delays in commencement of project activities if the legitimacy of the government is questioned.”,0.86,P172434
SOM-002,Humanitarian response funding shortfalls threaten interruption of lifesaving assistance,"The project’s sustainability and recurrent financing (e.g., teacher salaries and school operations) relies on continued external partner support; shortfalls in external financing could disrupt continuity of benefits beyond the project period.",Reliance on external support is expected to continue beyond the five-year project period.,0.6,P172434
SOM-001,"Severe hunger and worsening food insecurity driven by drought, conflict, and aid cuts","The PAD explicitly situates implementation in an environment of severe drought/famine and widespread food insecurity, which can divert government attention and fiscal/administrative bandwidth away from public resource management reforms the project depends on.","While there was a modest economic recovery in 2021, with growth estimated at 2.9 percent, severe drought and famine conditions are emerging, which are contributing to high levels of food insecurity (affecting 7.1 million people) and internal displacement.",0.72,P177298
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","The PAD notes large-scale internal displacement driven by worsening drought. This increases operational difficulty for reforms intended to improve service delivery and administrative reach (e.g., more accessible services), as populations shift toward urban areas and IDP settlements.",The worsening drought conditions are estimated to have led to nearly 50 percent of the population being food insecure and one million people displaced from their homes as rural dwellers seek access to food and basic services in urban areas.,0.7,P177298
SOM-002,Humanitarian response funding shortfalls threaten interruption of lifesaving assistance,"The PAD highlights heavy reliance on external grants and documented shortfalls in externally financed revenues, which can undermine budget execution and reform traction for PFM/DRM actions supported by the project.","Consequently, around half of total budget expenditures in 2021 were financed from external grants (Figure 1).",0.64,P177298
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,"Political instability around elections/transition could reduce buy-in and slow/derail reforms supported by the project, including intergovernmental collaboration needed for harmonization and coordination.",The residual risk of political instability remains High and could slow or derail reforms during the project. The demand for this project from the FGS and FMSs could be dampened if political changes following elections weaken the strategic support behind it. FGS and FMSs dialogue and inter-governmental collaboration could also be disrupted because of upcoming FMSs election processes and outcomes.,0.84,P177298
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"The project’s design depends on coordination and harmonization across FGS and FMSs, but the PAD describes fragmented systems and uneven intergovernmental progress—creating a clear pathway for implementation delays or uneven results if fragmentation persists.","Public finance administrations, operational systems, and policies among the FGS and FMSs are fragmented, creating inefficiencies and hampering the state-building process.",0.76,P177298
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"Prevailing insecurity could restrict access for implementation and monitoring, increase security costs, and pose risks to staff and client counterparts involved in project delivery.","Insecurity poses a risk to human security (World Bank and client), project implementation, and its sustainability. It can create limitations on access to the operating environment, which in turn poses additional project risks, creating challenges for project implementation and monitoring. Security costs can also significantly increase the overall cost of the project implementation and related reforms.",0.82,P177298
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,Project implementation and outcomes depend on cooperation across FGS/FMS; PAD flags political contestation among partners (with potential conflict revival) as a key residual risk that could disrupt reform implementation across jurisdictions.,"The main residual risks are (i) political contestation among key political and economic partners, with the potential of a revival of conflict, at the FGS and FMSs level",0.78,P177298
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"The PAD explicitly anticipates constraints on supervision and verification in FCV conditions, which can disrupt timely issue resolution and quality assurance during implementation.","Given the FCV context and restrictions due to COVID-19, the project will mainstream the intense use of third-party monitoring to verify project outputs, results, impact to beneficiaries, and fiduciary arrangements.",0.63,P177298
SOM-004,Electoral and constitutional reform disputes deepen polarization and risk instability,Electoral turmoil and potential political instability are identified as threatening sustainability of FGS institutions and achievement of governance-related objectives (including policy development and sector management strengthening).,"In addition, recent electoral turmoil has introduced longer term questions of political stability and cohesion within the wider Somali electoral map. Such potential instability threatens the sustainability of FGS institutions and the PDO related to governance of the trade and transport sectors.",0.75,P173119
SOM-007,Fragmentation within the federal system creates operational space for Al-Shabaab,"The project’s institutional strengthening and corridor prioritization require FGS–FMS coordination, but the PAD notes governance challenges and unclear federal–state authority demarcation in sector management—creating susceptibility to implementation delays or contested decision-making for sector policies/strategies and corridor planning.","“The institutional capacities of the ministries are limited, and the governance challenges are many, especially due to absence of clear demarcation of authorities between the federal government and FMS in the management of the sector.”",0.8,P173119
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"Security threats (including attacks/kidnapping risk) and insecurity-related access constraints could disrupt fieldwork needed for feasibility/design work, stakeholder engagement, and safe deployment of consultants and project workers.",Security. Protracted conflict and insecurity in some parts of Somalia makes direct access to project sites for effective stakeholder engagement and community participation including grievance redress challenging. It also puts project workers in imminent danger of attacks and kidnapping by armed groups.,0.85,P173119
SOM-003,"Large-scale displacement disrupts agriculture, markets, and aid delivery","Large and persistent internal displacement could complicate stakeholder engagement and consultations needed for corridor pipeline preparation (and associated E&S work), because the PAD describes displacement at scale and includes dedicated stakeholder engagement staffing as a required implementation input.","777,000 Somalis currently reside outside of the country as refugees, and another 3.0 million are internally displaced, many of whom live in urban areas.

Not later than six (6) months after the Effective Date, the Recipient shall recruit the following additional staff into the Project Coordination Unit (PCU): ... and a stakeholder engagement specialist...",0.61,P173119
SOM-001,"Severe hunger and worsening food insecurity driven by drought, conflict, and aid cuts","Drought-driven crises and food insecurity may disrupt implementation focus and timelines for pipeline preparation and institutional strengthening, because the PAD frames drought/food insecurity as a factor that can derail national progress and recovery.","Decades of conflict compounded by recurring natural disasters have displaced a significant portion of society and damaged much of the country’s infrastructure, resulting in high rates of poverty and food insecurity.

Although testing remains limited, supporting contextual evidence indicates that COVID-19 remains a challenge. Rising prices and supply chain disruptions have led to growing food insecurity and rising prices, threatening the country’s economic and political recovery, potentially reversing the gains of the past decade.",0.56,P173119
SOM-005,Federal–state confrontation increases risk of renewed armed clashes,"Corridor/road section selection is expected to be negotiated between FGS and FMS, and the PAD anticipates that political and security considerations may force a fragmented (non-contiguous) preparation approach—potentially weakening corridor coherence and disrupting planned sequencing.","“Within the prioritization, eventual corridors and road sections are expected to be subject of discussion between FGS and FMS. While optimally the component will support development of a contiguous corridor, the prevailing political and security considerations may require financing preparation of corridor sections that are not contiguous.”",0.77,P173119
SOM-010,Political constraints restrict humanitarian operations and movement in the north,"The PAD anticipates objections/delays driven by competing centers of power (including armed groups and clan affiliations); this could disrupt consultations, corridor prioritization, and acceptance of outputs, including in areas requiring localized engagement.","Noting the extremely high demand for development, the limited resources, and various competing centers of power (FGS, FMS, clan affiliations, armed groups, etc.) in the country, the risk for potential objections to the project or delays are possible.",0.65,P173119
SOM-008,Ongoing kinetic operations and airstrikes reflect persistent conflict intensity in the south,"The PAD anticipates an ongoing insurgency in southern areas and explicitly plans security management arrangements; persistent conflict intensity could disrupt supervision missions and execution of project activities, particularly where corridor designs require work in remote/insecure areas.","Noting the ongoing insurgency in the southern areas of the country, and the broader FCV context in Somalia, the project will adopt a two-tier approach to security considerations: security measures for execution of the project itself and embedding security considerations in the design and arrangements for follow on projects.",0.75,P173119
SOM-006,Al-Shabaab territorial resurgence and increased attack tempo undermine security gains,"Project implementation and supervision may be disrupted by insecurity, including attacks and inaccessibility of some areas, affecting delivery, staffing, and achievement of results (including higher costs due to security conditions).","“Security risks and extremist-instigated violence often make parts of the country inaccessible for project implementation and supervision, putting project execution and PDO achievements at risk.”",0.82,P176898
