related_country_risk_id,related_country_risk_title,susceptibility_summary,evidence_quote,confidence,PROJ_ID_IB,citation_pdf_url
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"The PAD identifies a high fiduciary/implementation vulnerability from potential “line ministry interference,” which could undermine project autonomy, controls, and timely execution—an operational risk that can become more acute in constrained governance environments.","Entity level - Line ministry interference: The PCU will not yet have fully adapted to the new country WBG IPF partnership context in which counterpart funds are severely reduced and virtually nonexistent, and IDA funds are the main source of financing for the project; accountability as well as efficiency and economy in the use of funds is still an ongoing process.",0.74,P506969,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112.pdf
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"The PAD highlights substantial institutional/coordination risk from a dual implementation arrangement (two agencies implementing separate components under one project), which could be vulnerable to disruption if political/administrative transitions reduce coherence across institutions.","The institutional capacity for implementation and sustainability is rated substantial due to the challenges associated with the dual implementation arrangement between MASS and ADDS. Both entities, though experienced with World Bank financing, will implement their own component, and have their separate accounts and resources under the same project. The active coordination required between these entities to ensure a cohesive and synergic implementation of activities poses substantial risks to project timelines and long-term sustainability.",0.61,P506969,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112.pdf
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"Project activities that rely on citizen participation/civil society engagement (for transparency, feedback, and budgeting engagement) may be disrupted or under-deliver if “voice and accountability” constraints limit meaningful participation or uptake.","The World Bank’s 2021 Worldwide Governance Indicators revealed Djibouti's underperformance relative to the Middle East and North Africa (MENA) region and lower-middle-income countries, with particularly low scores in government effectiveness and voice and accountability.",0.62,P180696,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-28d37d68-d0ab-4355-acca-fed683f4b387.pdf
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,Implementation capacity and achievement of outcomes related to improved service delivery/access may be disrupted where public services and fiscal resources are strained by refugee/asylum seeker presence and internal migration driven by drought and conflict.,"Urban migration due to drought and conflict strains public services and fiscal resources, with the United Nations High Commissioner for Refugees (UNHCR) reporting 23,000 refugees and 11,000 asylum seekers.",0.58,P180696,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-28d37d68-d0ab-4355-acca-fed683f4b387.pdf
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"Project implementation and reform momentum could be disrupted if political instability around the period affects continuity of reform leadership and priorities (including cabinet reshuffles), since the operation depends on sustained high-level support for demanding governance reforms.","“Nonetheless, given the limited public sector governance progress in the past decades, the absence of broad consensus on some of the reforms — such as SOE reforms, as well as potential cabinet changes that could undermine the reform priorities — the residual risk is maintained at high.”",0.73,P180696,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-28d37d68-d0ab-4355-acca-fed683f4b387.pdf
DJI_R3,Constitutional revision enabling extended incumbency heightens political tensions,Achievement of results relies on political consensus and high-level political support for reforms spanning multiple institutions; heightened political tensions could weaken consensus/support needed for adoption and enforcement of the project’s reform measures.,“The achievement of the project outcomes is based on the following critical assumptions: ... (iii) political consensus on the reform at the sectoral line ministries;”,0.66,P180696,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-28d37d68-d0ab-4355-acca-fed683f4b387.pdf
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,The PAD flags limited non-state actor participation in oversight and governance functions; this can disrupt accountability and feedback loops that the project relies on for effective implementation of transparency/oversight reforms.,"“The internal control mechanisms within the Government also require improvements, and there is limited participation of, or contributions from, non-state actors.”",0.58,P180696,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-28d37d68-d0ab-4355-acca-fed683f4b387.pdf
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"Implementation could be disrupted by institutional weakness and interference affecting fiduciary controls and decision-making (including pressures on the PCU from line ministries), raising risks of delays, weak accountability, and inefficient use of funds.","Inherent Risk Country level: Poor governance and slow pace of implementation of public financial management (PFM) reforms that might hamper the overall PFM environment. H Overall, the fiduciary environment of the country is weak... Entity level - Line ministry interference: The PCU will not yet have fully adapted to the new country WBG IPF partnership context...",0.72,P180696,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-28d37d68-d0ab-4355-acca-fed683f4b387.pdf
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"Project outcomes could be undermined by displacement and refugee/migrant-driven urban pressures that increase slum expansion and affordable housing deficits in Djibouti City, where the project’s target groups seek housing and related finance products.","As a host to a large number to refugees and migrants, Djibouti is one of the most urbanized countries in the world. ... Migration from neighboring countries has put additional strain on urban growth and the expansion of slums—particularly in Balbala, which hosts about 300,000 people (roughly 30 percent of the population).",0.68,P176772,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-38023395-68a8-4eb6-8dd3-05bbe5a8c9ed.pdf
DJI_R8,Terrorism and regional conflict exposure linked to al-Shabaab and external deployments,"Project implementation and outcomes depend on sustained bank lending and private capital mobilization; the PAD notes that regional conflict-related shocks have already affected Djibouti’s logistics-driven economy, which could affect credit expansion for housing finance under the project’s guarantee and lending mechanisms.","The COVID-19 global crisis in 2020 and other shocks such as the War in Ethiopia (impact on logistics activity) and extreme regional drought dampened growth to 0.5 percent in 2020, which rebounded to 4.3 percent in 2021.",0.6,P176772,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-38023395-68a8-4eb6-8dd3-05bbe5a8c9ed.pdf
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"The project’s core governance and decision-making relies on sustained engagement of high-level political leadership (ministers, central bank governor) and inter-agency coordination structures; any disruption in political continuity/transition could slow approvals (workplans/budgets), coordination, and implementation oversight.","A high-level Steering Committee for the project will be established no later than one month after effectiveness. It will be chaired by the Minister of Economy and Finance with the Minister of Urban and Housing Development (MVUH), and will include the Minister of Budget, the Governor of the Central Bank and the President of the Chamber of Commerce. It will oversee the project, approve work programs and annual budgets, review annual reports, and will meet at least twice a year to review project implementation progress.",0.7,P176772,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-38023395-68a8-4eb6-8dd3-05bbe5a8c9ed.pdf
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"Implementation success is explicitly tied to strong coordination among multiple government and quasi-government actors (ARULoS, FGPCD, Chamber of Commerce, financial institutions). Heightened political contestation could weaken coordination bandwidth or delay key governance adjustments needed for the housing guarantee window.","Political and governance risk is rated substantial. The governance of the FGPCD will have to evolve to include the Ministry of Housing and specific steering committees for the housing and SME business. ARULoS will have to play a role of enabler in this project, mobilizing the private sector to provide financing for affordable housing, which is a different role than they play today as a provider of affordable housing supply. The success of the project will rest on a strong coordination between ARULoS, FGPCD, Chamber of Commerce, and financial institutions, each contributing their expertise to a common goal.",0.65,P176772,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-38023395-68a8-4eb6-8dd3-05bbe5a8c9ed.pdf
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"The project’s technical assistance includes policy reforms that require public consultations and structured stakeholder engagement; constraints on civic space could impede inclusive consultation processes, potentially delaying or weakening reform adoption and implementation.","Activities will include the preparation of the policy reforms led by the MVUH and its departments, the public consultations, and the capacity building of the stakeholders to implement those reforms.",0.55,P176772,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-38023395-68a8-4eb6-8dd3-05bbe5a8c9ed.pdf
DJI_R6,Insurgent activity by FRUD-armé threatens security forces and territorial stability,"The project plans field-based infrastructure investments and implementation support in growth poles that explicitly include Tadjourah, Obock, and Dikhil—areas that overlap with the risk geography—creating susceptibility to disruption of works execution, contractor access, and implementation supervision/monitoring in those zones.","“The following development zones are targeted as part of the government strategy on the basis of their agri-food potential: (i) Northern Zone: Tadjourah and Obock regions; (ii) Southern Zone: Dikhil and Ali Sabieh regions; …”

“Sub-Component 11.1 will finance public investments… namely: (i) 13 boreholes…; (ii) 6.5 km of rural roads and tracks…; and (iii) 40 hectares of land preparation…”

“Methodology for Data Collection Site visits”",0.65,P178836,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-9320408e-8d34-46ff-a14e-0221bdaeab77.pdf
DJI_R1,Escalating sectarian violence in Djibouti City threatens social cohesion,"Several core activities are anchored in/around Djibouti City (central growth pole and national media-based sensitization coordinated by the PIU). If violence/unrest in the capital constrains mobility or communications, it could disrupt coordination, outreach, and implementation in the peri-urban central zone.","Central Development Zone (peri-urban Djibouti city and Arta region)
• Growth pole selected: PK 25 Barrage de l’Amitié (200 to 300 ha available)",0.6,P178836,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-9320408e-8d34-46ff-a14e-0221bdaeab77.pdf
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"The PAD makes explicit that successful implementation depends on the absence of political crises and the continuation of political stability; therefore, any election-related instability could disrupt implementation schedules, government engagement, and delivery across components.","The critical assumptions underlying project implementation are that: (a) the Government, as well as its partners and stakeholders, will continue being strongly engaged in the implementation of the new development strategy for the agri-food sector; (b) commercial banks will continue to be interested in the agri-food sector; and (c) there will be no major external shocks or crises, either of a political, sanitary or environmental nature during project implementation.",0.74,P178836,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-9320408e-8d34-46ff-a14e-0221bdaeab77.pdf
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,The PAD explicitly identifies continued political stability and good governance as a sustainability factor that is expected to prevail; this indicates outcome sustainability is vulnerable to political transition-related instability.,The final important factor is maintenance of good governance and political stability; these factors currently characterize the socio-political context in Djibouti and are expected to continue to prevail.,0.62,P178836,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-9320408e-8d34-46ff-a14e-0221bdaeab77.pdf
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"The PAD highlights governance-related implementation risks around beneficiary selection (elite capture, lack of transparency, exclusion of vulnerable groups) for the project’s sub-project financing; these are areas that can be exacerbated in constrained governance environments and could affect targeting, credibility, and results.","Social risks are mostly associated with beneficiary selection and eligibility criteria for project activities related to technical assistance, including poorly designed process, elite capture, lack of transparency and potential for exclusion of poor or vulnerable individuals from the project, risks associated with child and migrants working in the agriculture sector, through the financing of agricultural investment initiatives.",0.7,P178836,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-9320408e-8d34-46ff-a14e-0221bdaeab77.pdf
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"The project explicitly includes refugees among prioritized/vulnerable groups for financing terms. Changes in refugee numbers, location, or ability to access services could affect beneficiary identification and equitable reach of the investment support.","There will be a preferential rate for women, young people and other vulnerable people (e.g., refugees) of 10 percent point reduction for the individual contribution compensated by a 10 percent point increase in the CEC.",0.55,P178836,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-9320408e-8d34-46ff-a14e-0221bdaeab77.pdf
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"The project’s ability to effectively reach and target intended beneficiaries (including drought-affected rural households and peri-urban areas) may be disrupted by ongoing displacement pressures, as refugee/migrant inflows add demand on already strained services and resources in the same geographic and livelihood contexts the project is supporting.","Djibouti hosts about 35,000 internally displaced people, including over 23,000 refugees and 11,000 asylum seekers. It has seen an increased influx of refugees and migrants of almost 8 percent since January 2021.",0.72,P178988,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-ab0d00ef-27b4-4e55-b4d9-d19643e5cfb2.pdf
DJI_R8,Terrorism and regional conflict exposure linked to al-Shabaab and external deployments,"The project’s core approach (importing, storing, and potentially distributing food commodities) is explicitly designed around managing supply disruptions linked to conflict dynamics in the region. If regional conflict disrupts import routes, procurement timelines, or logistics to the port/market, the project’s ability to procure/replenish and stabilize markets could be disrupted.","Djibouti has experienced sharp increases in the prices of basic food commodities due to the combination of the war in Ukraine, the conflict in neighbouring Ethiopia, and the drought, which has led to growing concerns among the population over possible food shortages.",0.72,P178988,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-ab0d00ef-27b4-4e55-b4d9-d19643e5cfb2.pdf
DJI_R1,Escalating sectarian violence in Djibouti City threatens social cohesion,"The project’s outcomes are vulnerable to social unrest triggered by food shortages/price spikes; the PAD explicitly flags demonstrations as a consequence the project is trying to prevent, implying potential disruption risks if shortages occur or the response is perceived as inadequate.","benefits will be achieved by preventing a shock in the availability of basic food commodities, which would have high social and economic costs, including demonstrations or reduced economic activity.",0.66,P178988,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-ab0d00ef-27b4-4e55-b4d9-d19643e5cfb2.pdf
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"Stakeholder engagement and local buy-in may be vulnerable because initial consultations were limited to central government entities, with local governments/communities not consulted during preparation and SEP updates deferred—raising operational risks if broader engagement is constrained in practice.","This preliminary SEP is based on a first round of consultations that took place from June to August 2022, which were limited to relevant government departments and entities. During this first round of meetings, the priority areas of the project were discussed without, however, consulting the local governments or communities, who will also be affected by or benefit from the project.",0.62,P178988,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-ab0d00ef-27b4-4e55-b4d9-d19643e5cfb2.pdf
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"The project’s core rationale (emergency food stock to prevent supply shocks) is explicitly tied in the PAD to risks of protests/“food riots” and resulting political instability; if such unrest materializes, it could disrupt achievement of Component 1’s intended stabilizing outcomes.","An in-depth empirical analysis of the effect of the 2007-2008 global financial and food crisis on fourteen African countries shows that soaring global commodity prices substantially affected the poor, triggering protests in developing countries and challenging policymakers to simultaneously address hunger, poverty and political instability18 . These protests, also known as food riots, are more likely to occur in countries that are neighbours of unstable political environments19 .",0.72,P178988,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-ab0d00ef-27b4-4e55-b4d9-d19643e5cfb2.pdf
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,Implementation (especially trade facilitation activities requiring bilateral coordination) is vulnerable to political instability and related disruptions to cross-border institutional collaboration; the PAD explicitly conditions proceeding with Ethiopia-facing activities on a satisfactory mutual understanding between customs authorities.,"“The fragility risks in the sub-region of the HoA is considered substantial, largely due to the possibility of political instability and conflict in some countries of the sub-region including the recent development in Ethiopia... Project activities that require close collaboration with Ethiopia will not be undertaken and respective disbursements will not be made unless the customs authorities of both countries have entered into a mutual understanding in a satisfactory manner to the World Bank, sufficient for Djibouti to be able to implement the activities.”",0.66,P174300,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b088bdcd4b&stream=Yes
DJI_R8,Terrorism and regional conflict exposure linked to al-Shabaab and external deployments,A portion of project activities (and associated disbursements) depends on continued functional cross-border collaboration between Djibouti and Ethiopia customs authorities. Regional insecurity or heightened instability that interrupts bilateral operational cooperation could delay implementation of transit/trade facilitation activities.,"no withdrawal shall be made under Category (2), unless the customs authorities of Recipient and Ethiopia have entered into a mutual understanding in form and manner satisfactory to the Association, sufficient for the Recipient to be able to carry out the activities under Parts 2.1 and 2.2 of the Project.",0.7,P174300,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b088bdcd4b&stream=Yes
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,The PAD notes refugee and migrant inflows that concentrate in poor areas and worsen already difficult local conditions. This dynamic could affect corridor-area stakeholder context and beneficiary reach/needs for project-supported activities in affected communities.,"The fragility in the HoA spills into Djibouti, by serving as a major destination for refugees and migrants fleeing political and environmental crises. These refugees typically settle in poor areas, where their presence tends to worsen the already challenging prevailing conditions there.",0.74,P174300,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b088bdcd4b&stream=Yes
DJI_R6,Insurgent activity by FRUD-armé threatens security forces and territorial stability,"Project procurement and execution (including bid responsiveness and timely delivery of large works/OPBRC packages) is explicitly flagged as vulnerable to the “regional security context,” which could disrupt contractor interest, mobilization, and schedule/cost performance.","At this stage of project preparation, the following key procurement risks are identified: (i) limited capacity of ADR in implementation of WB financed project, (ii) delay in procurement processing of large contracts under WB procurement regulations, particularly the OPBRC contract, , (iii) lack of capability for supervision of outputs and performance indicators for the OPBRC contract , (iv) noncompliance with environmental and social aspects during contract execution, (v) impact of COVID-19 and regional security context on bid response, time and cost over runs.",0.7,P174300,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b088bdcd4b&stream=Yes
DJI_R3,Constitutional revision enabling extended incumbency heightens political tensions,"The project’s proposed long-term, performance-based road contract model and private participation could be disrupted if political tensions/instability increase perceived political and payment risk, reducing bidder appetite or affecting contract sustainability.","Responses from the stakeholders indicated that there would be private sector interest and appetite for the project and a belief that many of the project’s risks could be managed effectively. However, concern was raised around political and payment risks associated with entering a long-term contract with the Government where private capital (e.g., debt or equity) was put at risk.",0.7,P174300,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b088bdcd4b&stream=Yes
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"Les résultats du projet (accès/rétention) reposent sur l’inclusion des réfugiés et la prise en charge d’écoles dans les camps/villages de réfugiés, ce qui expose l’atteinte des cibles à des dynamiques de déplacement et de pression sur les services dans les zones d’accueil/camps.","Favoriser l’inclusion des réfugiés dans le système éducatif national, y compris dans les écoles administrées par le MENFOP dans les camps de réfugiés anciennement gérés par des ONG ou le HCR.",0.75,P166059,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b087ef2534&stream=Yes
DJI_R1,Escalating sectarian violence in Djibouti City threatens social cohesion,"Plusieurs fonctions critiques du projet (formation initiale/continue des enseignants, formateurs/inspecteurs) sont centralisées à Djibouti Ville, ce qui rend l’exécution vulnérable à des perturbations d’accès et de fonctionnement dans la capitale.",le Centre de Formation des Enseignants de l’Enseignement Fondamental (CFEEF) est le centre de formation à Djibouti Ville chargé de dispenser la formation initiale à l’enseignement fondamental et à l’enseignement secondaire.,0.6,P166059,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b087ef2534&stream=Yes
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"Le modèle de financement basé sur les résultats dépend de décisions administratives formelles (notes de service signées) du MENFOP pour déclencher la mise en œuvre et les décaissements, ce qui est opérationnellement vulnérable à des retards/interruptions de gouvernance en période d’instabilité politique.","le démarrage de la mise en œuvre sera vérifié au moyen d’une note de service signée détaillant les normes de qualité adoptées par le MENFOP, la méthodologie pour les mesurer et l’équipe et les moyens de mise en œuvre.",0.7,P166059,http://wbdocsservices.worldbank.org/services?I4_SERVICE=FILE_URLS2&RENDITION=Y&TYPE=T&I4_DOCID=090224b087ef2534&stream=Yes
