country_risk_id,country_risk_title,connection_summary,confidence,PROJ_ID_IB,realized_risk_id
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"The realized risk (missing refugee-disaggregated completion and employment outcomes) is plausibly linked to system and capacity constraints associated with sustained refugee hosting in a resource-constrained setting. When services and administrative systems are under pressure, routine collection, integration, and reporting of refugee-specific education and labor outcomes can lag or be deprioritized, limiting availability of disaggregated indicators.",0.74,P175483,ba4df9ac
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"If refugee outcome monitoring relies on partnerships with non-state actors (e.g., NGOs, civil society, independent monitors) or broader data-sharing arrangements, constrained civic space could reduce channels for collecting/verifying refugee outcome data and slow establishment of robust reporting systems. This connection is plausible but not directly evidenced in the realized risk statement.",0.42,P175483,ba4df9ac
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"Fragmented aid coordination is plausibly linked to the constrained operating environment for non-state actors and limited space for broad-based governance engagement. Where civil society participation and transparency are restricted, coordination platforms can become more government-centric and less able to convene, share information, and build accountability among stakeholders—conditions that commonly reduce alignment and follow-through on partner-supported reforms.",0.62,P171777,5bb9f941
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"Weak/fragmented aid coordination can be associated with broader institutional governance constraints in contexts of restricted democratic space. Limits on independent scrutiny and open policy dialogue can reduce incentives for inter-ministerial coordination, data-sharing, and transparent prioritization among partners, contributing to persistent fragmentation in development cooperation arrangements.",0.5,P171777,5bb9f941
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"If the pre-election period increases political uncertainty and diverts senior attention toward security and political management, it can plausibly exacerbate already-fragmented aid coordination by slowing decision-making, weakening convening power, and reducing follow-through on cross-government reform sequencing with development partners. This is a plausible aggravating factor rather than a primary cause.",0.34,P171777,5bb9f941
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"The non-adoption of the Code du Numérique reflects a governance and regulatory decision-making bottleneck. Country-level constraints on civic space and broader governance engagement plausibly contribute to slower, less consultative, and more centralized policy processes—conditions that can delay adoption of foundational regulatory frameworks needed for project activities.",0.63,P174461,0911a6f9
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"A constrained political environment can weaken policy feedback loops and legislative scrutiny, increasing reliance on opaque, centralized executive decision-making. This governance dynamic is plausibly consistent with protracted delays in adopting key regulatory instruments (like the digital code) that require cross-stakeholder coordination and formal approval.",0.52,P174461,0911a6f9
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"The project risk is about delayed government decisions; an approaching high-stakes electoral period amid instability can reasonably divert political attention and slow contentious or high-visibility reforms, contributing to regulatory slippage such as postponing adoption of the Code du Numérique.",0.41,P174461,0911a6f9
DJI_R3,Constitutional revision enabling extended incumbency heightens political tensions,"The realized risk reflects a core institutional/governance weakness: a key legal instrument (“Livre Deuxième” of the digital/telecom code) has not been adopted, undermining ARMD’s mandate. This type of stalled or discretionary legal reform is plausibly connected to broader political tensions and governance centralization described in DJI_R3, where institutional changes and political contestation can slow, deprioritize, or politicize passage of enabling legislation needed for regulators to function.",0.48,P174461,8d59487f
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,Delays in adopting foundational sector legislation that is necessary for an independent regulator to operate can be a symptom of erosion in institutional effectiveness and rules-based governance. DJI_R5’s emphasis on weakening democratic institutions and heightened transition risks provides a plausible country-level fragility dynamic that could translate into uneven policy follow-through and weaker institutional capacity for reforms like adopting the “Livre Deuxième.”,0.44,P174461,8d59487f
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"The non-adoption of the central telecom regulatory text may reflect constraints in inclusive, consultative, and accountable law-making processes. DJI_R10 highlights limits on civic space that can reduce external scrutiny and stakeholder engagement around governance reforms; this can plausibly contribute to delays or incomplete adoption of regulatory frameworks, leaving agencies like ARMD without operational legal tools.",0.42,P174461,8d59487f
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"A persistent delay in adopting key legislation can plausibly be exacerbated by an increasingly fragile political calendar, where attention and incentives shift away from technical reforms. DJI_R2’s anticipated election-related fragility provides a reasonable (though indirect) linkage to slowed legislative adoption needed for ARMD to implement planned regulatory activities.",0.34,P174461,8d59487f
DJI_R3,Constitutional revision enabling extended incumbency heightens political tensions,"The delayed signing/publication of core PFM reform legal instruments is plausibly linked to a highly centralized and politically sensitive decision-making environment. In a period of heightened political tension around constitutional change and extended incumbency, senior-level authorization for governance reforms can be slowed or deprioritized, contributing to implementation delays for reforms that require formal executive action (signature and gazetting).",0.46,P180696,5bec1c76
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"Where political space is constrained and authority is concentrated, administrative actions that require high-level approval (such as decrees/orders underpinning PFM reforms) can face delays due to risk aversion and tight control over reform signaling. This governance context can translate into slower formalization steps (signature/publication), delaying project effectiveness.",0.43,P180696,5bec1c76
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"If institutions are eroding and the political system is oriented toward managing transition/succession uncertainties, routine-but-critical institutional processes (e.g., finalizing and publishing reform decrees) may become less reliable and more dependent on senior political attention, increasing the likelihood of procedural delays that block project start.",0.4,P180696,5bec1c76
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"PFM reform is a governance-sensitive agenda that often benefits from transparency and broader stakeholder engagement. A context where civic space is constrained may reduce external pressure and feedback loops that help push final administrative steps (like gazetting), allowing formalization bottlenecks to persist and delay effectiveness.",0.36,P180696,5bec1c76
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"The delayed operationalization of PFM reform governance structures reflects weak/contested governance reform traction and coordination capacity. This is plausibly reinforced by a broader political environment that constrains participation and accountability actors and can limit effective engagement on governance reforms, thereby slowing activation of cross-government coordination bodies relied upon by multiple donors.",0.6,P180696,252ce1a4
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,Persistent erosion of institutions and heightened transition/succession uncertainty can reduce incentives for administrations to empower or operationalize reform governance bodies that create transparency and constrain discretion. This institutional fragility dynamic can manifest as slow activation of PFM reform structures and weaker inter-agency coordination affecting donor-funded implementation.,0.5,P180696,252ce1a4
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"A constrained governance environment is often associated with centralized decision-making and limited scrutiny, which can impede timely establishment of formal reform governance mechanisms and multi-stakeholder coordination. This can plausibly contribute to the observed delays in operationalizing PFM reform structures needed for coordinated donor implementation.",0.45,P180696,252ce1a4
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"The blockage of land-regularization case files due to internal administrative prioritization (data migration over service delivery) is consistent with broader institutional fragility dynamics—where weakened institutions and limited performance/accountability incentives can translate into persistent bureaucratic bottlenecks that slow citizen-facing outputs (e.g., land certificates).",0.42,P162901,4e65852f
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"If civic space and external oversight are constrained, there may be fewer channels to pressure for timely administrative decisions and transparent prioritization within agencies, making it easier for internal processes (like data migration) to stall operational delivery without correction. This is a plausible but indirect linkage given the risk description is primarily technical/administrative.",0.34,P162901,4e65852f
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"A non-operational project steering committee points to weak institutional functionality and inter-ministerial coordination. This is plausibly consistent with broader erosion/weakening of democratic and state institutions highlighted at country level, which can reduce incentives and capacity for collective decision-making and priority arbitration during implementation.",0.6,P175483,d9e60b61
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"Where political space is constrained and governance is highly centralized, cross-institutional coordination bodies can be deprioritized or become less effective if decisions are taken through informal/central channels rather than formal committees. This political-governance context could plausibly contribute to an inactive steering committee and slower decision-making.",0.45,P175483,d9e60b61
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"Persistent domestic instability and an approaching high-stakes electoral period can divert senior attention and complicate inter-institutional coordination, making it harder to convene and sustain an active steering committee. The link is plausible but indirect given the project evidence is from early 2025.",0.35,P175483,d9e60b61
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"The realized risk reflects a failure to follow through on agreed GBV prevention/response arrangements (the action plan not being transmitted despite training). This kind of weak compliance and limited accountability can be more plausible in a context where civic space and scrutiny are constrained, reducing external pressure and feedback loops that often help operationalize sensitive safeguards like GBV measures.",0.42,P175483,3063f843
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"Operationalizing GBV prevention/response typically relies on collaboration with civil society/service providers and functioning referral pathways. Country-level constraints on civil society engagement could plausibly contribute to delays or reluctance to finalize/share GBV action plans and set up effective survivor-centered mechanisms, aligning with the observed non-transmission of the agreed plan.",0.48,P175483,3063f843
DJI_R4,Constrained democratic space and repression of opposition and media increase unrest risk,"Difficulty establishing a “high-level” steering committee can plausibly reflect highly centralized decision-making and limited space for cross-stakeholder coordination. In contexts where political control is tight and participation is constrained, setting up inter-institutional governance bodies can be delayed by sensitivities over membership, authority, and accountability.",0.46,P175483,b26034ef
DJI_R10,Political constraints on civil society may limit broader governance and stabilization engagement,"The reported governance/coordination delay is plausibly aligned with a broader constraint environment that complicates inclusive coordination mechanisms. If steering arrangements require engagement beyond a narrow set of state actors (e.g., technical agencies, semi-autonomous bodies, or non-state stakeholders), political constraints can slow agreement on structure, representation, and mandates.",0.52,P175483,b26034ef
