risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Macroeconomic Instability Impacting Project Viability,"Macroeconomic risks remain rated as 'High' throughout project implementation, creating systemic challenges to project sustainability and the ability to deliver services in Afghanistan's volatile economic environment.",high,persistent,Risk Category Rating at Approval Approval Package - 29 Apr 2022 Last Approved Rating ISR Seq. 09 - 07 Apr 2025 Proposed Rating Political and Governance High High High Macroeconomic High High High,7d245924,P178760,Implementation Status and Results Report,2025-06-23T16:30:16.000Z
Institutional Capacity Deterioration for Implementation and Sustainability,"Institutional capacity for implementation and sustainability has worsened from 'Moderate' at approval to 'Substantial' risk in the current rating, indicating declining government and partner capacity to sustain project outcomes.",high,worsening,Institutional Capacity for Implementation and Sustainability Moderate Moderate Substantial,7cfd7939,P178760,Implementation Status and Results Report,2025-06-23T16:30:16.000Z
Fiduciary Risk Elevation in High-Risk Environment,"Fiduciary risk has escalated from 'Substantial' at approval to 'High' in the last approved rating (ISR Seq. 09), indicating increased vulnerability to fraud, corruption, or mismanagement in Afghanistan's fragile governance context.",high,worsening,Fiduciary Substantial High Substantial,ab5f2840,P178760,Implementation Status and Results Report,2025-06-23T16:30:16.000Z
Displacement and IDP/Returnee Population Pressures,"The project is actively managing significant IDP and returnee populations, with thousands of displaced households receiving services. This reflects ongoing conflict-driven displacement dynamics affecting implementation areas.",medium,persistent,"The activity has benefitted 11,394 IDP and 2,080 returnee households... Individuals from 17,950 IDP HHs and 525 returnee HHs directly benefited under parent project in 1,372 rural host communities... 9,661 IDP/returnee HHS (8,111 IDP HHs and 1550 returnee HHs) directly benefited 161 host communities/gozars.",6a615bff,P178760,Implementation Status and Results Report,2025-06-23T16:30:16.000Z
Political and Governance Instability Affecting Project Implementation,"The project operates in Afghanistan under conditions of persistent political and governance fragility, rated as 'High' across all assessment periods. This creates ongoing uncertainty for project implementation and sustainability.",high,persistent,"Risk Category: Political and Governance - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",4d8e377c,P178775,Implementation Status and Results Report,2025-06-01T18:26:46.000Z
Service Delivery Disruptions Due to Conflict/Instability,"Service delivery targets across vaccination, institutional deliveries, and growth monitoring are running 15% below pace. While multiple factors may contribute, the document indicates targets were 'revised downward based on data from Jan-Jun 2024,' suggesting implementation challenges in the operating environment.",medium,worsening,Progress against target is ~15% below pace for achievement. Target for Apr 2025-Mar 2026 accordingly revised downward based on data from Jan-Jun 2024.,54bccd85,P178775,Implementation Status and Results Report,2025-06-01T18:26:46.000Z
Coordination Challenges with Authorities in Fragile Context,"Project implementation depends on maintaining coordination with authorities to prevent and address service delivery problems. In a high-risk political and governance environment, such coordination may be fragile and subject to disruption.",medium,persistent,UNICEF and WFP are effectively managing project implementation and maintaining coordination with authorities to prevent and address any service delivery problems and to support the MCBP's rollout.,70db1676,P178775,Implementation Status and Results Report,2025-06-01T18:26:46.000Z
Institutional Capacity Constraints in Fragile Governance Context,"Institutional capacity for implementation is rated as 'Moderate' risk, which in the context of Afghanistan's high political and governance fragility suggests limited absorptive capacity and sustainability concerns for project activities.",medium,persistent,"Risk Category: Institutional Capacity for Implementation and Sustainability - Rating at Approval: Moderate, Last Approved Rating: Moderate, Proposed Rating: Moderate",0cd4bc10,P178775,Implementation Status and Results Report,2025-06-01T18:26:46.000Z
Ban on Girls' Education Beyond Grade 6 Disrupting Project Outcomes,"The Taliban's ban on girls' education beyond grade 6 is directly impacting project implementation, with 733 girls who reached grade 6 unable to continue their education, undermining the PDO to support access to learning opportunities for girls and boys.",high,persistent,733 girls having reached grade 6 were unable to continue due to the ban.,7b8841f4,P178758,Implementation Status and Results Report,2025-06-01T18:26:17.000Z
Political Instability and Governance Fragility Affecting Implementation,"The project operates under high political and governance risk in Afghanistan, with the SORT tool rating Political and Governance risk as 'High' at both approval and current review, indicating persistent governance fragility affecting project delivery.",high,persistent,Risk Category: Political and Governance... Rating at Approval: High... Last Approved Rating: High,83c60256,P178758,Implementation Status and Results Report,2025-06-01T18:26:17.000Z
School Construction Halted Due to Safeguards Issue in Insecure Environment,"Construction at one school site has been temporarily halted due to a safeguards issue being addressed by the ITA MoE, indicating implementation disruptions related to operational challenges in the fragile context.",medium,new,one where construction was temporarily halted due to a safeguards issue being addressed by the ITA MoE.,4df9f80b,P178758,Implementation Status and Results Report,2025-06-01T18:26:17.000Z
Land-Related Issues Preventing School Rehabilitation in Multiple Sites,"Three schools were dropped from the gender-focused rehabilitation program due to land-related issues, suggesting property disputes or governance challenges that prevent project implementation in certain locations.",medium,persistent,"5 schools were dropped: 2 are receiving interventions from other organizations, and 3 had land-related issues.",3378e1b3,P178758,Implementation Status and Results Report,2025-06-01T18:26:17.000Z
High Political and Governance Risk Affecting Implementation,"Political and governance risks are rated as High and persistent, creating an unstable environment for project implementation in Afghanistan. This directly impacts the ability to establish implementation arrangements and meet Ministry of Economy requirements.",high,persistent,Political and Governance High High High,1f22a7b7,P504220,Implementation Status and Results Report,2024-11-19T16:15:21.000Z
High Macroeconomic Risk Impacting Project Viability,"Macroeconomic risks are rated as High and persistent, affecting the operating environment for microfinance providers and enterprises in Afghanistan. This threatens the sustainability of finance supply and demand for micro and small enterprises.",high,persistent,Macroeconomic High High High,2c229a57,P504220,Implementation Status and Results Report,2024-11-19T16:15:21.000Z
Institutional Capacity Constraints Worsening,"Institutional capacity for implementation and sustainability has been upgraded from Substantial to High risk, indicating deteriorating capacity of implementing agencies (Aga-Khan Foundation Afghanistan and Afghan Credit Guarantee Foundation) to execute project activities effectively.",high,worsening,Institutional Capacity for Implementation and Sustainability Substantial Substantial High,69e3a2c6,P504220,Implementation Status and Results Report,2024-11-19T16:15:21.000Z
Sector Strategies and Policies Risk Escalating,"Sector strategies and policies risk has escalated from Substantial to High, suggesting instability in the policy environment governing microfinance and enterprise development in Afghanistan, affecting project alignment and sustainability.",high,worsening,Sector Strategies and Policies Substantial Substantial High,d96f9044,P504220,Implementation Status and Results Report,2024-11-19T16:15:21.000Z
Project Implementation Suspension Due to Political Instability,"The Afghanistan Resilience Trust Fund (ARTF) financing for the project has been canceled, and IDA grants remain suspended due to the extraordinary political situation in Afghanistan, preventing effective project implementation.",high,worsening,The Afghanistan Resilience Trust Fund (ARTF) [and any other trust funds] in the project was canceled based on the consideration that the project cannot be effectively implemented under the current extraordinary situation in Afghanistan. Undisbursed IDA grants under this project will remain suspended until a decision is made by the World Bank.,d39b2168,P172109,Implementation Status and Results Report,2024-07-08T19:30:07.000Z
Persistent High Political and Governance Risk,"Political and governance risk remains rated as High across all assessment periods (approval, last approved rating, and proposed rating), indicating sustained fragility in the operating environment.",high,persistent,Political and Governance lHigh lHigh lHigh,eb144e46,P172109,Implementation Status and Results Report,2024-07-08T19:30:07.000Z
Macroeconomic Instability Affecting Project Viability,"Macroeconomic risk is rated as High across all assessment periods, creating sustained uncertainty for project implementation and sustainability in Afghanistan.",high,persistent,Macroeconomic lHigh lHigh lHigh,7370b887,P172109,Implementation Status and Results Report,2024-07-08T19:30:07.000Z
Grievance Mechanism Non-Functional,"Despite a grievance mechanism being in place, there is no evidence that project-related grievances are being resolved, with 0% of grievances addressed within one month as of the last reporting period, indicating breakdown in stakeholder engagement mechanisms.",medium,persistent,"While a grievance mechanisms is in place and grievances are being logged, there is no evidence that they are being resolved.",0c218a0a,P172109,Implementation Status and Results Report,2024-07-08T19:30:07.000Z
Lengthy and Complicated Coordination with Interim Taliban Authority (ITA),"Both AKF and UNOPS face significant delays in coordinating with ITA line ministries, particularly the Ministry of Rural Rehabilitation and Development (MRRD). These delays affect project approval processes and implementation timelines, with potential for continued obstruction.",high,persistent,"Coordinating with ITA counterparts is lengthy and complicated. Both AKF and UNOPS teams encountered delays when coordinating with ITA line ministries, especially MRRD. It took both teams several months to agree with ITA MRRD on geographical coverage and proposed activities before they could start field investigation and community outreach.",c473ec24,P179311,Aide Memoire,2024-06-18T12:10:02.000Z
Governance Fragility Affecting International NGO Operations,"AKF, as an international NGO, faces particular challenges working with the de facto Taliban authority (ITA), requiring ongoing coordination with MRRD and regional offices for activity approval, technical design documentation review, and MOU signing before physical works can commence.",high,persistent,"This will be especially challenging for AKF as an international NGO, as they will need to continue working with MRRD and their regional offices to identify a priority activities list, receive approval on technical design documentation, and eventually sign the MOU before actual physical works could start.",ec87d67b,P179311,Aide Memoire,2024-06-18T12:10:02.000Z
Emergency Response Disruption from May 2024 Flash Floods,"Flash floods in Northern Afghanistan (May 11, 2024) in provinces of Baghlan, Samangan, and Takhar have created immediate humanitarian needs requiring emergency response measures, potentially diverting project resources and implementation focus.",medium,new,"To provide immediate emergency response to the May 11th flash floods in Northern Afghanistan, AKF-AFG conducted a need assessment for hygiene kits and chlorine tablets during the week of May 13th. AKF-AFG will continue working with the World Bank team to fast-track procurement and distribution of these short-term response measures while expediting the installation of drinking water and sanitation facilities among the three most affected provinces, namely Baghlan, Samangan, and Takhar.",1cffcece,P179311,Aide Memoire,2024-06-18T12:10:02.000Z
Tight Implementation Timeline Constrained by Winter Accessibility,"Both AKF and UNOPS face severe time pressure to complete implementation before winter 2024 when site accessibility becomes limited. This creates risk of implementation slippage and incomplete project delivery, particularly for DACAAR and ActionAid with compressed timelines.",high,persistent,Tight implementation period before winter 2024. Both AKF (and their implementing partners) and UNOPS will need to closely monitor their implementation plan to avoid further slippage of implementation into winter when site accessibility will be limited. The Implementation period is especially tight for DACAAR and ActionAid.,26a06021,P179311,Aide Memoire,2024-06-18T12:10:02.000Z
De Facto Authority Registration and Approval Requirements,Project implementation requires registration with the Taliban-controlled Ministry of Economy and approval from MRRD. These de facto authority requirements create governance dependencies and potential implementation bottlenecks.,medium,persistent,"as per de facto authorities requirements, the project is now registered with the MOEc (Ministry of Economy, Afghanistan) and an introduction letter has been issued to the MRRD to start the process of signing an MoU with AKF AFG.",c5248022,P179311,Aide Memoire,2024-06-18T12:10:02.000Z
Project Implementation Suspended Due to Political Instability,"The Afghanistan Resilience Trust Fund (ARTF) financing for the project was canceled, and IDA grant disbursements remain suspended due to the extraordinary political situation in Afghanistan, preventing effective project implementation.",high,persistent,The Afghanistan Resilience Trust Fund (ARTF) in the project was canceled based on the consideration that the project cannot be effectively implemented under the current extraordinary situation in Afghanistan. Undisbursed IDA grants under this project will remain suspended until a decision is made by the World Bank.,8c861584,P164762,Implementation Status and Results Report,2024-06-13T07:00:06.000Z
Political and Governance Fragility Affecting Implementation Capacity,"Political and governance risks remain rated as 'High' throughout the project lifecycle, directly constraining the implementing agency's (Ministry of Urban Development and Land) ability to execute project activities and maintain institutional continuity.",high,persistent,"Risk Category: Political and Governance - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",3016fe9d,P164762,Implementation Status and Results Report,2024-06-13T07:00:06.000Z
Institutional Capacity Constraints Linked to Governance Fragility,"Institutional capacity for implementation and sustainability is rated 'High' risk, reflecting the government's limited ability to sustain land administration systems and operations under the current governance environment.",high,persistent,"Risk Category: Institutional Capacity for Implementation and Sustainability - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",1ddc124a,P164762,Implementation Status and Results Report,2024-06-13T07:00:06.000Z
Deteriorating Macroeconomic Conditions Affecting Project Viability,"Macroeconomic risk has escalated from 'Substantial' at approval to 'High' in the current rating, indicating severe economic instability in Afghanistan that undermines project implementation and sustainability prospects.",high,worsening,"Risk Category: Macroeconomic - Rating at Approval: Substantial, Last Approved Rating: High, Proposed Rating: High",8b0b3947,P164762,Implementation Status and Results Report,2024-06-13T07:00:06.000Z
ARTF Cancellation Due to Extraordinary Political Situation,"The Afghanistan Resilience Trust Fund (ARTF) component of the project was canceled because the project cannot be effectively implemented under the current extraordinary situation in Afghanistan, indicating severe governance and political instability affecting project viability.",high,worsening,The Afghanistan Resilience Trust Fund (ARTF) in the project was canceled based on the consideration that the project cannot be effectively implemented under the current extraordinary situation in Afghanistan.,f01e7faa,P169970,Implementation Status and Results Report,2024-06-07T00:00:00.000Z
IDA Grant Suspension Pending World Bank Decision,"Undisbursed IDA grants remain suspended pending a World Bank decision, reflecting uncertainty about the political and governance environment's ability to support project implementation in Afghanistan.",high,persistent,Undisbursed IDA grants under this project will remain suspended until a decision is made by the World Bank.,d23794f9,P169970,Implementation Status and Results Report,2024-06-07T00:00:00.000Z
High Political and Governance Risk Rating,"The project maintains a 'High' rating for Political and Governance risk across all assessment periods (approval, last approved rating, and proposed rating), indicating persistent and severe governance fragility affecting implementation.",high,persistent,"Political and Governance [Risk Category Rating]: High [Approval Package - 11 Dec 2020], High [Last Approved Rating ISR Seq. 06 - 08 Dec 2023], High [Proposed Rating]",ae660c05,P169970,Implementation Status and Results Report,2024-06-07T00:00:00.000Z
High Fiduciary Risk Persisting Throughout Implementation,"Fiduciary risk remains rated 'High' across all assessment periods, likely linked to governance fragility and the extraordinary political situation preventing effective financial management and oversight.",high,persistent,"Fiduciary [Risk Category Rating]: High [Approval Package - 11 Dec 2020], High [Last Approved Rating ISR Seq. 06 - 08 Dec 2023], High [Proposed Rating]",f9e59706,P169970,Implementation Status and Results Report,2024-06-07T00:00:00.000Z
Political and Governance Risk - Engagement with Interim Taliban Authority,"Project implementation depends on coordination with the interim Taliban authority (ITA) Ministry of Rural Rehabilitation and Development (MRRD). The document indicates both implementing agencies have agreed with the ITA on geographical coverage and project activities, but this represents a governance fragility risk given the Taliban's interim status and international non-recognition.",high,persistent,Both implementing agencies have agreed with the interim Taliban authority (ITA) Ministry of Rural Rehabilitation and Development (MRRD) on geographical coverage and project activities.,2a1e663c,P179311,Implementation Status and Results Report,2024-05-29T00:00:00.000Z
Political and Governance Risk Rating Remains High,"The Political and Governance risk category has been rated 'High' consistently across all review periods (Approval, Last Approved Rating, and Proposed Rating), indicating persistent governance fragility concerns affecting the project.",high,persistent,"Risk Category: Political and Governance - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",9196c38e,P179311,Implementation Status and Results Report,2024-05-29T00:00:00.000Z
Security and Access Constraints Affecting Water Quality Monitoring,The project acknowledges security and access concerns as factors limiting water quality assurance targets. The water quality compliance target is set at 80 percent rather than higher levels specifically to account for security-related constraints.,medium,persistent,"The target is set at 80 percent of the value to take into account concerns regarding security, access, and the quality of existing water sources.",7782e10d,P179311,Implementation Status and Results Report,2024-05-29T00:00:00.000Z
Project Implementation Suspended Due to Political Instability,"The Afghanistan Resilience Trust Fund (ARTF) component was canceled and IDA grant disbursements remain suspended due to the extraordinary political situation in Afghanistan, preventing effective project implementation.",high,persistent,The Afghanistan Resilience Trust Fund (ARTF) in the project was canceled based on the consideration that the project cannot be effectively implemented under the current extraordinary situation in Afghanistan. Undisbursed IDA grants under this project will remain suspended until a decision is made by the World Bank.,2d6caa0e,P171886,Implementation Status and Results Report,2024-05-08T00:00:00.000Z
High Political and Governance Risk Rating,"Political and Governance risk is rated as High, consistent since project approval, indicating fundamental governance fragility affecting project implementation capacity.",high,persistent,"Risk Category: Political and Governance - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",116ae228,P171886,Implementation Status and Results Report,2024-05-08T00:00:00.000Z
High Macroeconomic Risk Affecting Financial Sector Stability,"Macroeconomic risk is rated as High and persistent, creating instability in the financial intermediation environment that the project aims to strengthen.",high,persistent,"Risk Category: Macroeconomic - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",ccf9c0f4,P171886,Implementation Status and Results Report,2024-05-08T00:00:00.000Z
High Sector Strategy and Policy Risk,"Sector Strategies and Policies risk is rated as High and persistent, indicating instability in the financial sector policy environment necessary for project success.",high,persistent,"Risk Category: Sector Strategies and Policies - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",057b0afc,P171886,Implementation Status and Results Report,2024-05-08T00:00:00.000Z
Project Implementation Suspended Due to Political Instability in Afghanistan,"The Afghanistan Resilience Trust Fund (ARTF) financing for the project has been canceled, and IDA grants remain suspended due to the extraordinary political situation in the country, preventing effective project implementation.",high,persistent,The Afghanistan Resilience Trust Fund (ARTF) in the project was canceled based on the consideration that the project cannot be effectively implemented under the current extraordinary situation in Afghanistan. Undisbursed IDA grants under this project will remain suspended until a decision is made by the World Bank.,4428d7b8,P168266,Implementation Status and Results Report,2024-05-08T00:00:00.000Z
High Political and Governance Risk Rating Affecting Project Execution,"Political and governance risk is rated as High across all assessment periods, directly constraining the project's ability to execute planned activities and maintain institutional capacity for implementation.",high,persistent,"Risk Category: Political and Governance - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",ad0b4955,P168266,Implementation Status and Results Report,2024-05-08T00:00:00.000Z
Uncertainty Over Project Activities Delaying Implementation,"Uncertainty regarding project activities in the current Afghanistan context is causing delays in critical implementation milestones, including establishment of grievance redress mechanisms and recruitment of key personnel.",high,persistent,"Progress is behind schedule, partly due to COVID-19 and uncertainty over project activities. Establishment of GRM is pending recruitment of a safeguard specialist.",97000626,P168266,Implementation Status and Results Report,2024-05-08T00:00:00.000Z
Project Implementation Suspended Due to Political Instability,"The Afghanistan Resilience Trust Fund (ARTF) component was canceled and IDA grants remain suspended due to the extraordinary political situation in Afghanistan, preventing effective project implementation.",high,persistent,The Afghanistan Resilience Trust Fund (ARTF) in the project was canceled based on the consideration that the project cannot be effectively implemented under the current extraordinary situation in Afghanistan. Undisbursed IDA grants under this project will remain suspended until a decision is made by the World Bank.,9c0276d4,P164762,Implementation Status and Results Report,2023-12-15T00:00:00.000Z
Political and Governance Fragility Affecting Implementation,"Political and governance risks remain rated as High, indicating ongoing instability that constrains project execution and institutional capacity for implementation.",high,persistent,Political and Governance [Risk Category Rating]: High [Previous Rating]: High [Current Rating]: High,8abc9c35,P164762,Implementation Status and Results Report,2023-12-15T00:00:00.000Z
Institutional Capacity Constraints Due to Governance Fragility,"Institutional capacity for implementation and sustainability remains rated High risk, reflecting governance fragility affecting the implementing agencies' ability to execute project activities.",high,persistent,Institutional Capacity for Implementation and Sustainability [Risk Category Rating]: High [Previous Rating]: High [Current Rating]: High,6a2aa11a,P164762,Implementation Status and Results Report,2023-12-15T00:00:00.000Z
Severe Project Performance Deterioration,"Both Progress towards PDO and Overall Implementation Progress are rated Unsatisfactory, with minimal disbursement (26% of IDA funds) and stalled indicator achievement, reflecting the impact of the extraordinary situation in Afghanistan.",high,worsening,Progress towards achievement of PDO: Unsatisfactory [Current Rating]. Overall Implementation Progress (IP): Unsatisfactory [Current Rating]. Disbursed: 4.42 [out of 17.86 revised] (26% Disbursed),3af131a3,P164762,Implementation Status and Results Report,2023-12-15T00:00:00.000Z
Project Implementation Suspended Due to Political Instability,"The Afghanistan Resilience Trust Fund (ARTF) and project financing have been canceled, and IDA grants remain suspended due to the extraordinary political situation in Afghanistan, preventing effective project implementation.",high,worsening,The Afghanistan Resilience Trust Fund (ARTF) and any other trust fund in the project was canceled based on the consideration that the project cannot be effectively implemented under the current extraordinary situation in Afghanistan. Undisbursed IDA grants under this project will remain suspended until a decision is made by the World Bank.,03a2d68d,P172109,Implementation Status and Results Report,2023-12-14T00:00:00.000Z
Political and Governance Risk Remains High,"Political and governance risks are rated as High at both approval and current assessment, indicating persistent fragility in the government's ability to support project implementation.",high,persistent,"Risk Category: Political and Governance - Rating at Approval: High, Previous Rating: High, Current Rating: High",2134ad36,P172109,Implementation Status and Results Report,2023-12-14T00:00:00.000Z
Macroeconomic Instability Affecting Project Viability,"Macroeconomic risks remain rated as High, reflecting broader economic fragility in Afghanistan that undermines project sustainability and implementation capacity.",high,persistent,"Risk Category: Macroeconomic - Rating at Approval: High, Previous Rating: High, Current Rating: High",94b25c51,P172109,Implementation Status and Results Report,2023-12-14T00:00:00.000Z
Minimal Project Disbursement Despite Approval,"Only 8.1% of the $52.5 million IDA credit has been disbursed ($4.37M) as of December 2023, with $49.53M remaining undisbursed, indicating severe implementation constraints linked to the political situation.",high,worsening,"Project Loan/Credit/TF: P172109 IDA-D5210 - Disbursed: 4.37, Undisbursed: 49.53, % Disbursed: 8.1%",4a947879,P172109,Implementation Status and Results Report,2023-12-14T00:00:00.000Z
Project Implementation Halted Due to Political Instability in Afghanistan,"The Afghanistan Resilience Trust Fund (ARTF) component of the project was canceled because the project cannot be effectively implemented under the current extraordinary situation in Afghanistan, indicating severe political instability affecting project execution.",high,worsening,The Afghanistan Resilience Trust Fund (ARTF) in the Project was canceled based on the consideration that the Project cannot be effectively implemented under the current extraordinary situation in Afghanistan.,07c60099,P132944,Implementation Status and Results Report,2023-12-13T00:00:00.000Z
Persistent High Political and Governance Risk,"Political and Governance risk remains rated as High at current review, indicating ongoing fragility in the governance environment affecting project implementation sustainability.",high,persistent,"Political and Governance [Risk Category Rating] Previous Rating: High, Current Rating: High",3a95af1b,P132944,Implementation Status and Results Report,2023-12-13T00:00:00.000Z
Persistent High Institutional Capacity Risk for Implementation,"Institutional Capacity for Implementation and Sustainability remains rated as High, suggesting ongoing challenges with the implementing agency's ability to execute project activities effectively under the current operating environment.",high,persistent,"Institutional Capacity for Implementation and Sustainability [Risk Category Rating] Previous Rating: High, Current Rating: High",95489af9,P132944,Implementation Status and Results Report,2023-12-13T00:00:00.000Z
Project Implementation Suspended Due to Political Instability,"The Afghanistan Resilience Trust Fund (ARTF) component was canceled and IDA grants remain suspended due to the extraordinary political situation in Afghanistan, preventing effective project implementation.",high,persistent,The Afghanistan Resilience Trust Fund (ARTF) in the project was canceled based on the consideration that the project cannot be effectively implemented under the current extraordinary situation in Afghanistan. Undisbursed IDA grants under this project will remain suspended until a decision is made by the World Bank.,8fcc3288,P160619,Implementation Status and Results Report,2023-12-12T00:00:00.000Z
Political and Governance Fragility Affecting Implementation,"Political and governance risks remain rated as High at both approval and current assessment, indicating persistent governance fragility impacting project execution.",high,persistent,"Political and Governance [Risk Category Rating]: High [at Approval], High [Previous Rating], High [Current Rating]",66cd7bae,P160619,Implementation Status and Results Report,2023-12-12T00:00:00.000Z
Deteriorating Institutional Capacity for Implementation,"Institutional capacity for implementation has worsened from Substantial at approval to Moderate currently, indicating declining government capacity to execute the project.",high,worsening,"Institutional Capacity for Implementation and Sustainability [Risk Category Rating]: Substantial [at Approval], Moderate [Previous Rating], Moderate [Current Rating]",f3f1e2f5,P160619,Implementation Status and Results Report,2023-12-12T00:00:00.000Z
Increased Other Risks Category,"The 'Other' risk category has escalated from Substantial at approval to High currently, suggesting emerging FCV-related implementation challenges beyond standard categories.",high,worsening,"Other [Risk Category Rating]: Substantial [at Approval], Substantial [Previous Rating], High [Current Rating]",1fc9591c,P160619,Implementation Status and Results Report,2023-12-12T00:00:00.000Z
Project Implementation Suspended Due to Political Instability,"The Afghanistan Resilience Trust Fund (ARTF) component was canceled and IDA grants remain suspended due to the extraordinary political situation in Afghanistan, preventing effective project implementation.",high,worsening,The Afghanistan Resilience Trust Fund (ARTF) in the project was canceled based on the consideration that the project cannot be effectively implemented under the current extraordinary situation in Afghanistan. Undisbursed IDA grants under this project will remain suspended until a decision is made by the World Bank,ac88a6e5,P169970,Implementation Status and Results Report,2023-12-08T00:00:00.000Z
Political and Governance Fragility Affecting Implementation,"Political and governance risks remain rated as High, indicating significant fragility in the operating environment that constrains project execution and institutional capacity.",high,persistent,"Political and Governance [Risk Category Rating]: High [at Approval], High [Previous Rating], High [Current Rating]",69f97c42,P169970,Implementation Status and Results Report,2023-12-08T00:00:00.000Z
Zero Project Progress on Core Indicators,"All PDO and intermediate results indicators show zero actual progress since project approval in December 2020, with no beneficiaries reached and no infrastructure constructed, suggesting implementation has stalled due to the operating environment.",high,persistent,"People provided with access to improved water sources (Number, Corporate) Baseline: 0.00, Actual (Current): 0.00, End Target: 880,000.00... Water supply network constructed under the project (Kilometers, Custom) Baseline: 0.00, Actual (Current): 0.00, End Target: 400.00",8f5ebea0,P169970,Implementation Status and Results Report,2023-12-08T00:00:00.000Z
Institutional Capacity Constraints in Fragile Context,"Institutional capacity for implementation and sustainability is rated as Substantial risk, reflecting challenges in AUWSSC's ability to execute project activities in the current governance environment.",high,persistent,"Institutional Capacity for Implementation and Sustainability [Risk Category Rating]: Substantial [at Approval], Substantial [Previous Rating], Substantial [Current Rating]",acc707cd,P169970,Implementation Status and Results Report,2023-12-08T00:00:00.000Z
