risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Coordination Challenges with Federal Member States,Project implementation requires coordination with Federal Member States (FMS) for digital ID expansion and financial sector oversight. Limited progress in extending operations to FMS reflects governance fragmentation affecting service delivery.,medium,persistent,Fixed registration sites and mobile teams are currently operational within the BRA and two FMS.,502054ca,P168115,Implementation Status and Results Report,2025-10-06T15:10:37.000Z
Political instability delaying fiscal transfer policy implementation,"The Inter-Governmental Fiscal Transfer Policy Paper requires operationalization but implementation is stalled. PBC 3.5 on fiscal transfer policy is unlikely to be achieved as the policy has been 'tabled twice and rejected at IGFFTC' and requires tabling at FMFF meeting, however no FMFF was organized in 2025, suggesting political gridlock.",medium,persistent,"PBC 3.5 – Unlikely to be achieved; Policy prepared, tabled twice and rejected at IGFFTC. Requires tabling at FMFF meeting, however no FMFF organized in 2025.",1710a9f4,P173731,Implementation Status and Results Report,2025-09-25T07:55:15.000Z
Electoral cycle disrupting civil service reform implementation,"Implementation of harmonized tax rates and civil service pay and grading reforms is being delayed as the country enters elections. PBC 1.5 on harmonized tax is unlikely to be achieved due to pending parliamentary approval during election period, and PBC 5.5 on civil servant pay scale implementation is unlikely to be achieved with timeline extending beyond project closure.",medium,worsening,"PBC 1.5 – Unlikely to be achieved; Harmonized tax pending approval by FGS and FMS parliaments as we enter into elections, and would require implementation in FMIS",1a75e9d9,P173731,Implementation Status and Results Report,2025-09-25T07:55:15.000Z
Governance fragility affecting inter-governmental fiscal transfers execution,"The FGS has failed to meet fiscal transfer execution targets to FMS/BRA in both FY2023 and FY2024, with execution rate of only 69.9% in FY2024 compared to 107% domestic revenue outturn. JSS transfers have been withheld for 2 years and are not expected to be met in 2025, indicating governance challenges in inter-governmental fiscal relations.",high,persistent,The FGS has not met this indicator in FY2023 and FY2024. JSS transfer withheld for 2 years. Not expected to be met in 2025.,b1ed694a,P173731,Implementation Status and Results Report,2025-09-25T07:55:15.000Z
Governance capacity constraints affecting teacher absorption into national cadre,"Only 89 out of approximately 1,700 RCRF-funded teachers were successfully selected into the National Teachers Initiative (NTI) in 2024, indicating significant governance and institutional capacity challenges in integrating project-supported teachers into government systems. Assessments are being conducted to identify selection barriers.",medium,persistent,"Of around 1,700 RCRF-funded teachers, only 89 were successfully selected in 2024, prompting assessments to identify selection barriers.",fca35d58,P173731,Implementation Status and Results Report,2025-09-25T07:55:15.000Z
Governance instability affecting payroll audit recommendations implementation,"Implementation of internal audit recommendations on payroll processes remains off-track. Only 2 of 9 required audit recommendations have been implemented, with PBC 2.4 unlikely to be achieved. The AGO initially reported addressing six recommendations but independent verification confirmed at least five issues remain unresolved due to insufficient evidence.",medium,persistent,PBC 2.4 - Unlikely to be achieved; 2 of 9 audit recommednations implemented out of requred 6.,018fd164,P173731,Implementation Status and Results Report,2025-09-25T07:55:15.000Z
Political and Governance Instability Affecting Project Implementation,"The project operates in Somalia, a fragile state with persistent political and governance challenges that constrain implementation capacity and institutional stability. The high political and governance risk rating reflects underlying state fragility affecting project delivery.",high,persistent,Political and Governance High High High,4167b321,P176898,Implementation Status and Results Report,2025-09-25T04:15:14.000Z
Security Risks Requiring Specialized Management,"The project has identified security as a material implementation concern, with procurement of a Security Risk Management Consultant in final stages, indicating active security threats to project operations and beneficiary access.",high,persistent,procurement of a Security Risk Management Consultant is in the final stages,3120f5a2,P176898,Implementation Status and Results Report,2025-09-25T04:15:14.000Z
Environment and Social Safeguards Risks in Fragile Context,"The project maintains a high Environment and Social risk rating, reflecting challenges in implementing safeguards in a fragile governance environment where institutional capacity for monitoring and enforcement is limited.",high,persistent,Environment and Social High High High,ab01e7ad,P176898,Implementation Status and Results Report,2025-09-25T04:15:14.000Z
Institutional Capacity Constraints for Implementation and Sustainability,"Substantial institutional capacity risks persist for implementation and sustainability, reflecting the fragile state context and limited government capacity to manage complex education and skills development programs.",high,persistent,Institutional Capacity for Implementation and Sustainability Substantial Substantial Substantial,ed400951,P176898,Implementation Status and Results Report,2025-09-25T04:15:14.000Z
Persistent High Political and Governance Risk,"Political and governance instability remains a sustained constraint on project implementation across Somalia's fragmented federal structure, affecting coordination and implementation capacity.",high,persistent,Political and Governance High High High,217c91ac,P177627,Implementation Status and Results Report,2025-09-18T22:00:15.000Z
Persistent High Macroeconomic Risk,"Macroeconomic instability continues to pose a high risk to project implementation, likely reflecting Somalia's fragile economic conditions and fiscal constraints.",high,persistent,Macroeconomic High High High,8094c5d9,P177627,Implementation Status and Results Report,2025-09-18T22:00:15.000Z
Substantial Stakeholder and Social Risk,"Substantial risks related to stakeholder engagement and social dynamics persist, potentially affecting community participation and project acceptance across Federal Member States.",high,persistent,Stakeholders Substantial Substantial Substantial,30b0659e,P177627,Implementation Status and Results Report,2025-09-18T22:00:15.000Z
Substantial Environment and Social Risk,"Substantial environmental and social risks remain, likely related to implementation in fragile dryland areas and potential displacement or livelihood tensions.",high,persistent,Environment and Social Substantial Substantial Substantial,17a17117,P177627,Implementation Status and Results Report,2025-09-18T22:00:15.000Z
Political and Governance Instability Affecting Project Implementation,"Political and governance risks remain elevated and are constraining project implementation progress. The risk rating for Political and Governance has been maintained at 'High' across all review periods, indicating persistent governance fragility affecting the project's ability to execute activities and coordinate across government entities.",high,persistent,Political and Governance High High High,323df09d,P173119,Implementation Status and Results Report,2025-08-22T21:05:09.000Z
Institutional Capacity Constraints Linked to Governance Fragility,"Institutional capacity for implementation has escalated from 'Substantial' at approval to 'High' risk in current ratings, reflecting deteriorating government capacity to manage project implementation. This is directly linked to governance fragility in Somalia's federal context.",high,worsening,Institutional Capacity for Implementation and Sustainability Substantial Substantial High,294e5032,P173119,Implementation Status and Results Report,2025-08-22T21:05:09.000Z
Macroeconomic Instability Impacting Project Viability,"Macroeconomic risk has escalated from 'Moderate' at approval and last review to 'High' in the current rating, indicating worsening economic conditions that may undermine project sustainability and government commitment to sector management objectives.",high,worsening,Macroeconomic Moderate Moderate High,707b5b06,P173119,Implementation Status and Results Report,2025-08-22T21:05:09.000Z
Sector Strategy Implementation Risks,"Sector Strategies and Policies risk has escalated from 'Moderate' to 'High', suggesting deteriorating government capacity or political will to implement transport and trade facilitation policies that are central to project objectives.",high,worsening,Sector Strategies and Policies Moderate Moderate High,4987e2cb,P173119,Implementation Status and Results Report,2025-08-22T21:05:09.000Z
Technical Design Viability Under Fragile Governance,"Technical Design of Project risk has escalated from 'Moderate' to 'High', indicating that the project's technical approach may not be feasible given the deteriorating governance and institutional environment in Somalia.",high,worsening,Technical Design of Project or Program Moderate Moderate High,23155d6d,P173119,Implementation Status and Results Report,2025-08-22T21:05:09.000Z
Political and Governance Fragility Affecting Multi-Level Coordination,"The project operates across fragmented governance structures (FGS and FMS) requiring subsidiary agreements and parallel engagement with Somaliland, reflecting underlying political fragmentation that could impede implementation coordination and fund flows.",high,persistent,A draft Subsidiary Agreement between FGS and FMSs has been shared with the Bank for review. The Task team has met with Somaliland and started appraisal - key progress includes designation of the Ministry of Local Government and Urban Development as the implementing agency and the appointment of an interim coordinator.,df8a2dd0,P508408,Implementation Status and Results Report,2025-08-08T19:20:06.000Z
Institutional Capacity Constraints in Fragile Governance Context,Substantial institutional capacity risk rating combined with ongoing recruitment of key PIU positions and interim coordinator appointments in Somaliland suggest weak institutional foundations that may constrain project delivery in a politically fragile environment.,high,persistent,Recruitment of key PIU positions has started... The Task team has met with Somaliland and started appraisal - key progress includes designation of the Ministry of Local Government and Urban Development as the implementing agency and the appointment of an interim coordinator.,53aa0661,P508408,Implementation Status and Results Report,2025-08-08T19:20:06.000Z
Political and Governance Risk Rated Substantial at Project Approval,"The project's Political and Governance risk category is rated as Substantial, indicating significant FCV-related concerns affecting implementation prospects in Somalia's fragile political context.",high,persistent,Risk Category Rating at Approval Approval Package - 29 Apr 2025: Political and Governance Substantial,534ac06d,P508408,Implementation Status and Results Report,2025-08-08T19:20:06.000Z
Political and Governance Fragility Affecting Project Implementation,"The project faces a High political and governance risk rating that directly impacts implementation capacity and sustainability of reforms, particularly regarding financial sector oversight and business enabling environment improvements that require stable institutional coordination.",high,persistent,Political and Governance High High,c757555d,P501662,Implementation Status and Results Report,2025-08-07T07:25:25.000Z
Macroeconomic Instability Constraining Project Outcomes,"High macroeconomic risk rating poses a persistent threat to the project's ability to achieve financial system strengthening and private sector-led growth objectives, affecting the viability of financial institutions and MSME access to finance components.",high,persistent,Macroeconomic High High,fb78d464,P501662,Implementation Status and Results Report,2025-08-07T07:25:25.000Z
Governance Tensions in Subsidiary Agreement Implementation,Ongoing engagement with Ministry of Finance of Somaliland to prepare subsidiary agreement for Bank of Somaliland support indicates potential governance coordination challenges between federal and regional authorities that could delay financial sector reform implementation.,medium,new,The Task Team is also engaging with Ministry of Finance of Somaliland to prepare and sign the subsidiary agreement for support to be provided to Bank of Somaliland. The subsidiary agreement and flow of funds arrangements are expected to be finalized by end of early September.,1006d56b,P501662,Implementation Status and Results Report,2025-08-07T07:25:25.000Z
High Political and Governance Risk Persisting,"Political and governance risks remain rated as 'High' throughout project implementation, indicating ongoing fragility in the political environment affecting project execution and government stewardship capacity.",high,persistent,Political and Governance High High High,bf4b34fa,P172031,Implementation Status and Results Report,2025-07-29T10:25:08.000Z
High Institutional Capacity Risk for Implementation and Sustainability,"Institutional capacity for implementation and sustainability is rated 'High' risk, suggesting government capacity constraints in managing health service delivery and project implementation in a fragile context.",high,persistent,Institutional Capacity for Implementation and Sustainability High High High,dd0b5e48,P172031,Implementation Status and Results Report,2025-07-29T10:25:08.000Z
Delays in Government Procurement and Capacity Building,"Government is not expediting procurement of cold chain equipment and capacity building activities, indicating governance and institutional capacity challenges affecting service delivery implementation.",medium,persistent,there are a few areas where the government needs to make improvements including expediting procurement of cold chain equipment and capacity building activities,341b7762,P172031,Implementation Status and Results Report,2025-07-29T10:25:08.000Z
Delayed Payment to Service Providers,"Only 44% of contracted service providers are being paid on time (within 45 days), indicating government financial management and stewardship challenges that could undermine service delivery partnerships in a fragile context.",medium,worsening,Percentage of contracted service providers paid on time (within 45 days of receipt of reports and invoices) (Percentage) Comments on achieving targets Not on track,c3a2588a,P172031,Implementation Status and Results Report,2025-07-29T10:25:08.000Z
Political and Governance Fragility Affecting Implementation Coordination,"Political instability and governance fragility in Somalia continues to constrain inter-governmental coordination mechanisms necessary for project implementation across federal, state, and municipal levels.",high,persistent,"Political and Governance [Risk Rating] High [at Approval], Substantial [Last Approved Rating], Substantial [Proposed Rating]",794cd208,P170922,Implementation Status and Results Report,2025-06-24T11:30:17.000Z
Institutional Capacity Constraints in Fragile Governance Context,"Weak institutional capacity for implementation and sustainability persists across municipal governments in a fragile state context, affecting project delivery and long-term service sustainability.",high,persistent,"Institutional Capacity for Implementation and Sustainability [Risk Rating] High [at Approval], Substantial [Last Approved Rating], Substantial [Proposed Rating]",fdfce7f8,P170922,Implementation Status and Results Report,2025-06-24T11:30:17.000Z
Fiduciary Risk in Conflict-Affected Governance Environment,High fiduciary risk persists in implementing project financial management and procurement across multiple municipalities in a fragile governance context with limited institutional oversight capacity.,high,persistent,"Fiduciary [Risk Rating] High [at Approval], High [Last Approved Rating], High [Proposed Rating]",f9a8be94,P170922,Implementation Status and Results Report,2025-06-24T11:30:17.000Z
Displacement and Refugee Pressures on Urban Infrastructure,"Significant displacement pressures from drought and conflict are driving urban migration, with the project responding to forced displacement through dedicated component allocating $65 million to serve IDPs and host communities.",high,persistent,"Response to Urban Forced Displacement:(Cost 65,000,000.00)... Number of beneficiaries benefitting from cash assistance... 50,619 households (approx. 163,054 individuals) have benefitted from multipurpose cash assistance, of which 86% have been female-headed households and 100% have been IDP households.",68d29e6a,P170922,Implementation Status and Results Report,2025-06-24T11:30:17.000Z
Drought-Induced Displacement Straining Service Delivery,"Drought-induced displacement is creating acute pressure on urban services and livelihoods, requiring emergency response mechanisms and forcing project adaptation to address humanitarian needs alongside infrastructure development.",high,worsening,"CERC activated for drought response in September 2022, including formally approved CERC Ops Manual... Number of beneficiaries reached under the municipal drought response (% women, IDPs) (Number) Total 1,056,397; with 63% women, 82% IDPs",c62a81c4,P170922,Implementation Status and Results Report,2025-06-24T11:30:17.000Z
Governance Tensions Affecting Inter-Governmental Coordination,"Tensions between federal, state, and municipal government levels are affecting coordination mechanisms, with inter-governmental forums not consistently inclusive of all counterparts.",medium,persistent,Not all forums recorded were inclusive of all FGS/FMS/Municipal counterparts.,a53820c0,P170922,Implementation Status and Results Report,2025-06-24T11:30:17.000Z
Security constraints affecting field data collection operations,"The Business Establishment Census required engagement of a consultancy firm to manage logistics operations including security arrangements for field teams across 16 major cities in Somalia, indicating that security risks necessitate specialized operational support for implementation activities.",high,persistent,"This activity was implemented by the Somalia National Bureau of Statistics (SNBS) with the support of a consultancy firm that managed logistics operations, including handling payment for the field team, transport, and security.",a603c29d,P171160,Implementation Status and Results Report,2025-06-24T09:15:49.000Z
Geographic fragmentation affecting statistical coverage,"The Business Establishment Census covered only 16 major cities across Somalia, explicitly including Somaliland and Puntland, indicating territorial fragmentation and governance challenges that limit comprehensive national statistical coverage.",medium,persistent,"successfully interviewed 175,217 establishments in 16 major cities across Somalia (including Somaliland and Puntland)",0fd6fcb2,P171160,Implementation Status and Results Report,2025-06-24T09:15:49.000Z
Security constraints limiting project area access and implementation pace,"Security challenges are directly impeding project implementation across core activities including school infrastructure, grants, and teacher development, resulting in slower-than-planned progress.",high,persistent,"Despite challenges related to security and access to the project areas, the project is advancing steadily in implementation of the core activities across school infrastructure, grants, and teacher development, although in slower pace than planned.",463d1abb,P172434,Implementation Status and Results Report,2025-06-13T09:05:18.000Z
Political and governance fragility affecting implementation capacity,"Political and governance risks remain substantial and are constraining the project's ability to achieve development objectives on schedule, contributing to the moderately unsatisfactory implementation progress rating.",high,persistent,Political and Governance [Risk Rating] Substantial [at Approval] Substantial [Last Approved Rating] Substantial [Proposed Rating],e73c3b8b,P172434,Implementation Status and Results Report,2025-06-13T09:05:18.000Z
Institutional capacity constraints in conflict-affected federal member states,"Implementation challenges across multiple federal member states (Galmudug, Hirshabelle, Jubbaland, Southwest) suggest institutional capacity limitations in fragile governance contexts, affecting school construction and supervision activities.",medium,persistent,"Phase II: 50 sites identified; E&S assessments completed for 37 sites (Galmudug 11, Hirshabelle 9, Jubbaland 8, Southwest 9). BRA assessments completed and pending submission.",7182a847,P172434,Implementation Status and Results Report,2025-06-13T09:05:18.000Z
Political and Governance Instability Affecting Implementation,Political and governance risks remain rated as 'High' and are constraining project implementation progress. The project operates across fragmented governance structures (Federal Government of Somalia and Somaliland) with ongoing institutional fragility.,high,persistent,Risk Category: Political and Governance... Proposed Rating: High... Last Approved Rating: High,94262f5c,P173088,Implementation Status and Results Report,2025-05-31T18:36:28.000Z
Implementation Delays Due to Governance Fragmentation,"Component 1 implementation is behind schedule, with zero progress on distribution and sub-transmission line construction. The project's dependence on coordination between Federal Ministry of Energy and Water Resources and Somaliland Ministry of Energy and Minerals suggests governance coordination challenges are impacting execution.",high,worsening,Implementation of this sub-component is behind schedule. The number is zero (0) as the facilities are yet to be commissioned.,ce30270b,P173088,Implementation Status and Results Report,2025-05-31T18:36:28.000Z
Institutional Capacity Constraints in Fragile Governance Context,"Institutional capacity for implementation and sustainability is rated 'Substantial' risk. The project requires coordination across multiple implementing agencies in a fragile state context, with newly established regulatory institutions (Somaliland Energy Regulatory Commission and FGS National Electricity Authority) still operationalizing.",high,persistent,Risk Category: Institutional Capacity for Implementation and Sustainability... Proposed Rating: Substantial,0acf49ca,P173088,Implementation Status and Results Report,2025-05-31T18:36:28.000Z
Political and Governance Fragility Affecting Implementation Capacity,"The project operates across two separate political entities (Federal Government of Somalia and Somaliland) with distinct governance structures, creating coordination challenges and institutional fragility that impacts implementation timelines and institutional capacity building.",high,persistent,"The project has two implementing entities: the Federal Ministry of Finance, Somalia and the Ministry of Finance, Somaliland. In both entities, the Project Coordination/Implementation Units are now established.",81494f6d,P177298,Implementation Status and Results Report,2025-05-29T12:20:07.000Z
Weak Institutional Capacity and Governance Framework Operationalization,"Critical governance and legal frameworks remain non-operationalized, directly impacting project implementation. The procurement and legal/regulatory framework for public financial management has not been operationalized, limiting the ability to achieve accountability and transparency objectives.",high,persistent,"Legal and regulatory framework is not operationalized [as of 30-Sep-2024]. Procurement, legal and regulatory framework operationalized [target for Dec/2027]",bd7e8186,P177298,Implementation Status and Results Report,2025-05-29T12:20:07.000Z
Governance Capacity Constraints in Federal Member States,"Implementation of audit recommendations and financial management improvements in Federal Member States (FMSs) remains severely constrained, with baseline and current performance at only 10% against a target of 75%, indicating weak governance capacity at sub-national level.",high,persistent,"Implementation of previous years' audit recommendations relevant to Ministries of Finance on the consolidated financial statements - FMSs (Percentage): Baseline 10.00, Actual (Current) 10.00, Target 75.00",7c8c434c,P177298,Implementation Status and Results Report,2025-05-29T12:20:07.000Z
Delayed Implementation in Somaliland Due to Governance Constraints,"Somaliland implementation is significantly delayed with project activities just beginning. The indicator for audit recommendation implementation remains at baseline (11%) with a target of only 6%, and preparatory work on citizen feedback mechanisms has not yet started, suggesting governance-related implementation delays.",medium,new,Project implementation is just about to start [for Somaliland]. Preparatory work in developing the pilot access points have yet to start.,fd7f47c1,P177298,Implementation Status and Results Report,2025-05-29T12:20:07.000Z
Political and Governance Instability Affecting Implementation,"Somalia's fragile political and governance environment continues to pose high risk to project implementation, as reflected in the sustained 'High' rating for Political and Governance risk category.",high,persistent,"Risk Category: Political and Governance - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",083e4725,P176956,Implementation Status and Results Report,2025-05-29T12:10:38.000Z
Institutional Capacity Constraints in Fragile Context,"High institutional capacity risk persists for implementation and sustainability, reflecting challenges in delivering project activities through government and partner institutions in Somalia's fragile environment.",high,persistent,"Institutional Capacity for Implementation and Sustainability - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",f79ff03f,P176956,Implementation Status and Results Report,2025-05-29T12:10:38.000Z
Fiduciary Risk in Fragile State Context,"High fiduciary risk is maintained throughout implementation, reflecting governance and accountability challenges inherent to operating in Somalia's fragile and conflict-affected context.",high,persistent,"Fiduciary - Rating at Approval: High, Last Approved Rating: High, Proposed Rating: High",09cd9807,P176956,Implementation Status and Results Report,2025-05-29T12:10:38.000Z
Implementation Delays in Essential Health Services Component,"The Continuity of Essential Health Services component shows zero actual results as of March 29, 2024, with no health facilities renovated, equipped, or designated to provide essential services, indicating implementation challenges in the fragile context.",high,persistent,Number of health facilities designated and supported to provide the essential package of health services (Number) - Actual (Current): 0.00 (29-Mar-2024); Number of health facilities renovated and equipped to provide essential health services (Number) - Actual (Current): 0.00 (29-Mar-2024),02030717,P176956,Implementation Status and Results Report,2025-05-29T12:10:38.000Z
Political tensions delaying inter-governmental fiscal policy adoption,"Delays in adopting a policy brief on functional and revenue assignment agreements between FGS and FMS due to political tensions, affecting inter-governmental fiscal coordination and PBC 3.5 achievement.",medium,persistent,Challenges include delays in adopting a policy brief on agreements for functional and revenue assignment (PBC 3.5) due to political tensions,db09efb7,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Puntland non-compliance with project participation criteria,"Puntland has not submitted required information on civil service wage bill and has not signed functional assignment agreements, creating implementation gaps and potential exclusion from performance-based financing.",medium,persistent,"Puntland is yet to provide information on its complete civil service wage bill. After the monitoring agent analyzes the information, an agreement will be reached on the scope of the EEP and the next steps",b1911eea,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Teacher transition challenges affecting education service delivery,"Low absorption of RCRF-financed teachers into the National Teacher Initiative (NTI) due to communication failures, fraudulent documentation, and qualification discrepancies, with only 89 teachers selected in 2024 out of 1,623 RCRF-financed teachers.",high,worsening,"Of about 1,623 RCRF-financed teachers, only 89 teachers were successfully selected and contracted as NTI teachers during the 2024 selection round... Survey results highlighted key challenges faced by teachers, including lack of understanding of SMS content, limited awareness of the NTI application process, and missed notifications. Specifically, 321 teachers did not apply due to unclear messaging",bc622ec4,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Governance and coordination gaps in FMS health and education service delivery,"FMS Ministries of Interior not adequately coordinating with Health, Education, and Environment ministries to support eligible districts during service implementation, creating coordination failures in service delivery.",medium,persistent,"FMS Ministries of Interior to coordinate with Health, Education, and Environment ministries to support eligible districts during service implementation",8f306317,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Sustainability concerns freezing Female Health Worker recruitment,"FGS Minister of Finance imposed a freeze on recruitment of new Female Health Workers due to sustainability concerns, halting planned expansion of the Marwo Caafimaad Program and threatening service delivery targets.",high,new,"As of March 7, FGS Minister of Finance put a freeze on the recruitment of new FHWs due to sustainability concerns",f6326ccb,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Medical supply disruptions affecting health service delivery in multiple states,"Medical supply delays in Puntland and Hirshabelle states are affecting Female Health Worker operations and service delivery, requiring new supply agreements and stock management interventions.",medium,persistent,Medical supply delays in Puntland State of Somalia (PSS) and HSS are being addressed through new supply agreements and stock management,e7b04dda,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Governance and administrative capacity gaps in FMS compliance with project criteria,"Galmudug, Hirshabelle, and Southwest states do not meet minimum appropriations criteria for health ministries, indicating governance and budgetary planning weaknesses affecting project eligibility.",medium,persistent,"Galmudug State of Somalia (GSS), Hirshabelle State of Somalia (HSS), and Southwest State of Somalia (SWSS) do not adhere to the criterion of minimum appropriations for their ministries of health, intended to enable capability for management in these ministries",a30d99ff,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Governance incident and security concerns affecting project operations,"A Kismayo incident reported in April 2024 related to project operations, with ongoing corrective action plan implementation and security training requirements for project staff and contractors.",medium,improving,"Progress has been made in implementing the Corrective Action Plan following the Kismayo incident reported in April 2024, with continued awareness activities on project operations, community engagement, GM, and GBV protocols",2200fa2a,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Grievance resolution and community tensions in teacher transition,"Protests in Benadir Regional Administration related to RCRF teachers' transition to the FGS National Teacher Initiative, indicating community tensions and grievance management challenges.",medium,improving,"Grievance management is on track, with 65 out of 67 cases closed, including the resolution of protests in BRA related to RCRF teachers' transition to the FGS National Teacher Initiative",816b1e1c,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
Weak inter-governmental coordination on fiscal transfers execution,"FGS fiscal transfers execution rate to FMS/BRA has fallen below domestic revenue outturn rates in FY2023 and FY2024 (69.9% vs 107%), indicating governance and coordination failures in inter-governmental fiscal management.",medium,worsening,"The execution rate for the fiscal transfers to FMSs/BRA for FY2024 is 69.9% ($83,282,527 / $119,073,861), which is less than the outturn rate for domestic revenue of 107% ($369,353,791 / $346,183,627). The FGS has not met this indicator in FY2023 and FY2024",d5e9a94d,P173731,Aide Memoire,2025-03-28T11:35:02.000Z
